"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio Negro",12,"2020","Todos","Todas","Mato Grosso do Sul"
"2","Rio Verde de Mato Grosso",64,"2020","Todos","Todas","Mato Grosso do Sul"
"3","Rochedo",10,"2020","Todos","Todas","Mato Grosso do Sul"
"4","Santa Rita do Pardo",20,"2020","Todos","Todas","Mato Grosso do Sul"
"5","Selvíria",26,"2020","Todos","Todas","Mato Grosso do Sul"
"6","Sete Quedas",28,"2020","Todos","Todas","Mato Grosso do Sul"
"7","Sidrolândia",103,"2020","Todos","Todas","Mato Grosso do Sul"
"8","Sonora",23,"2020","Todos","Todas","Mato Grosso do Sul"
"9","São Gabriel do Oeste",48,"2020","Todos","Todas","Mato Grosso do Sul"
"10","Taquarussu",11,"2020","Todos","Todas","Mato Grosso do Sul"
"11","Terenos",38,"2020","Todos","Todas","Mato Grosso do Sul"
"12","Três Lagoas",341,"2020","Todos","Todas","Mato Grosso do Sul"
"13","Vicentina",13,"2020","Todos","Todas","Mato Grosso do Sul"
"14","Água Clara",30,"2020","Todos","Todas","Mato Grosso do Sul"
"15","Japorã",20,"2020","Todos","Todas","Mato Grosso do Sul"
"16","Jaraguari",8,"2020","Todos","Todas","Mato Grosso do Sul"
"17","Jardim",94,"2020","Todos","Todas","Mato Grosso do Sul"
"18","Jateí",10,"2020","Todos","Todas","Mato Grosso do Sul"
"19","Juti",16,"2020","Todos","Todas","Mato Grosso do Sul"
"20","Ladario",51,"2020","Todos","Todas","Mato Grosso do Sul"
"21","Laguna Carapã",7,"2020","Todos","Todas","Mato Grosso do Sul"
"22","Miranda",67,"2020","Todos","Todas","Mato Grosso do Sul"
"23","Mundo Novo",53,"2020","Todos","Todas","Mato Grosso do Sul"
"24","Naviraí",119,"2020","Todos","Todas","Mato Grosso do Sul"
"25","Nioaque",27,"2020","Todos","Todas","Mato Grosso do Sul"
"26","Nova Alvorada do Sul",29,"2020","Todos","Todas","Mato Grosso do Sul"
"27","Nova Andradina",96,"2020","Todos","Todas","Mato Grosso do Sul"
"28","Novo Horizonte do Sul",13,"2020","Todos","Todas","Mato Grosso do Sul"
"29","Paranaiba",143,"2020","Todos","Todas","Mato Grosso do Sul"
"30","Paraíso das Águas",8,"2020","Todos","Todas","Mato Grosso do Sul"
"31","Pedro Gomes",26,"2020","Todos","Todas","Mato Grosso do Sul"
"32","Ponta Porã",242,"2020","Todos","Todas","Mato Grosso do Sul"
"33","Ribas do Rio Pardo",41,"2020","Todos","Todas","Mato Grosso do Sul"
"34","Rio Brilhante",70,"2020","Todos","Todas","Mato Grosso do Sul"
"35","Chapadão do Sul",31,"2020","Todos","Todas","Mato Grosso do Sul"
"36","Corguinho",8,"2020","Todos","Todas","Mato Grosso do Sul"
"37","Coronel Sapucaia",38,"2020","Todos","Todas","Mato Grosso do Sul"
"38","Corumba",19,"2020","Todos","Todas","Mato Grosso do Sul"
"39","Costa Rica",61,"2020","Todos","Todas","Mato Grosso do Sul"
"40","Coxim",109,"2020","Todos","Todas","Mato Grosso do Sul"
"41","Deodápolis",46,"2020","Todos","Todas","Mato Grosso do Sul"
"42","Dois Irmãos do Buriti",22,"2020","Todos","Todas","Mato Grosso do Sul"
"43","Douradina",18,"2020","Todos","Todas","Mato Grosso do Sul"
"44","Dourados",653,"2020","Todos","Todas","Mato Grosso do Sul"
"45","Eldorado",28,"2020","Todos","Todas","Mato Grosso do Sul"
"46","Figueirão",4,"2020","Todos","Todas","Mato Grosso do Sul"
"47","Fátima do Sul",87,"2020","Todos","Todas","Mato Grosso do Sul"
"48","Glória de Dourados",29,"2020","Todos","Todas","Mato Grosso do Sul"
"49","Guia Lopes da Laguna",35,"2020","Todos","Todas","Mato Grosso do Sul"
"50","Iguatemi",39,"2020","Todos","Todas","Mato Grosso do Sul"
"51","Inocência",5,"2020","Todos","Todas","Mato Grosso do Sul"
"52","Itaporã",45,"2020","Todos","Todas","Mato Grosso do Sul"
"53","Itaquiraí",49,"2020","Todos","Todas","Mato Grosso do Sul"
"54","Ivinhema",72,"2020","Todos","Todas","Mato Grosso do Sul"
"55","Alcinópolis",8,"2020","Todos","Todas","Mato Grosso do Sul"
"56","Amambaí",132,"2020","Todos","Todas","Mato Grosso do Sul"
"57","Anastácio",92,"2020","Todos","Todas","Mato Grosso do Sul"
"58","Anaurilândia",21,"2020","Todos","Todas","Mato Grosso do Sul"
"59","Angélica",30,"2020","Todos","Todas","Mato Grosso do Sul"
"60","Antônio João",36,"2020","Todos","Todas","Mato Grosso do Sul"
"61","Aparecida do Taboado",89,"2020","Todos","Todas","Mato Grosso do Sul"
"62","Aquidauana",164,"2020","Todos","Todas","Mato Grosso do Sul"
"63","Aral Moreira",25,"2020","Todos","Todas","Mato Grosso do Sul"
"64","Bataguassu",47,"2020","Todos","Todas","Mato Grosso do Sul"
"65","Batayporã",10,"2020","Todos","Todas","Mato Grosso do Sul"
"66","Bela Vista",56,"2020","Todos","Todas","Mato Grosso do Sul"
"67","Bodoquena",26,"2020","Todos","Todas","Mato Grosso do Sul"
"68","Bonito",23,"2020","Todos","Todas","Mato Grosso do Sul"
"69","Brasilândia",32,"2020","Todos","Todas","Mato Grosso do Sul"
"70","Caarapo",77,"2020","Todos","Todas","Mato Grosso do Sul"
"71","Camapuã",40,"2020","Todos","Todas","Mato Grosso do Sul"
"72","Campo Grande",2413,"2020","Todos","Todas","Mato Grosso do Sul"
"73","Caracol",18,"2020","Todos","Todas","Mato Grosso do Sul"
"74","Cassilândia",80,"2020","Todos","Todas","Mato Grosso do Sul"
