"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Sebastião do Alto",42,"2020","Todos","Todas","Rio de Janeiro"
"2","Tanguá",126,"2020","Todos","Todas","Rio de Janeiro"
"3","Teresopolis",653,"2020","Todos","Todas","Rio de Janeiro"
"4","Trajano de Moraes",30,"2020","Todos","Todas","Rio de Janeiro"
"5","Três Rios",338,"2020","Todos","Todas","Rio de Janeiro"
"6","Valença",300,"2020","Todos","Todas","Rio de Janeiro"
"7","Varre-Sai",5,"2020","Todos","Todas","Rio de Janeiro"
"8","Vassouras",267,"2020","Todos","Todas","Rio de Janeiro"
"9","Volta Redonda",1444,"2020","Todos","Todas","Rio de Janeiro"
"10","Rio Bonito",203,"2020","Todos","Todas","Rio de Janeiro"
"11","Rio Claro",50,"2020","Todos","Todas","Rio de Janeiro"
"12","Rio das Flores",26,"2020","Todos","Todas","Rio de Janeiro"
"13","Rio das Ostras",409,"2020","Todos","Todas","Rio de Janeiro"
"14","Rio de Janeiro",32096,"2020","Todos","Todas","Rio de Janeiro"
"15","Santa Maria Madalena",25,"2020","Todos","Todas","Rio de Janeiro"
"16","Santo Antônio de Pádua",166,"2020","Todos","Todas","Rio de Janeiro"
"17","Sapucaia",57,"2020","Todos","Todas","Rio de Janeiro"
"18","Saquarema",388,"2020","Todos","Todas","Rio de Janeiro"
"19","Seropedica",329,"2020","Todos","Todas","Rio de Janeiro"
"20","Silva Jardim",95,"2020","Todos","Todas","Rio de Janeiro"
"21","Sumidouro",44,"2020","Todos","Todas","Rio de Janeiro"
"22","São Fidélis",49,"2020","Todos","Todas","Rio de Janeiro"
"23","São Francisco de Itabapoana",96,"2020","Todos","Todas","Rio de Janeiro"
"24","São Gonçalo",3270,"2020","Todos","Todas","Rio de Janeiro"
"25","São José de Ubá",24,"2020","Todos","Todas","Rio de Janeiro"
"26","São José do Vale do Rio Preto",84,"2020","Todos","Todas","Rio de Janeiro"
