"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Pão de Açúcar",30,"2015","Todos","Todas","Alagoas"
"2","Rio Largo",15,"2015","Todos","Todas","Alagoas"
"3","Roteiro",14,"2015","Todos","Todas","Alagoas"
"4","Santana do Ipanema",479,"2015","Todos","Todas","Alagoas"
"5","Sao Miguel dos Campos",3,"2015","Todos","Todas","Alagoas"
"6","Satuba",27,"2015","Todos","Todas","Alagoas"
"7","São Brás",2,"2015","Todos","Todas","Alagoas"
"8","São José da Laje",72,"2015","Todos","Todas","Alagoas"
"9","São Sebastião",2,"2015","Todos","Todas","Alagoas"
"10","Taquarana",3,"2015","Todos","Todas","Alagoas"
"11","Teotônio Vilela",14,"2015","Todos","Todas","Alagoas"
"12","Traipu",1,"2015","Todos","Todas","Alagoas"
"13","União dos Palmares",141,"2015","Todos","Todas","Alagoas"
"14","Viçosa",1,"2015","Todos","Todas","Alagoas"
"15","Água Branca",37,"2015","Todos","Todas","Alagoas"
"16","Maceio",4547,"2015","Todos","Todas","Alagoas"
"17","Major Isidoro",10,"2015","Todos","Todas","Alagoas"
"18","Maragogi",73,"2015","Todos","Todas","Alagoas"
"19","Marechal Deodoro",2,"2015","Todos","Todas","Alagoas"
"20","Mata Grande",9,"2015","Todos","Todas","Alagoas"
"21","Matriz de Camaragibe",91,"2015","Todos","Todas","Alagoas"
"22","Messias",36,"2015","Todos","Todas","Alagoas"
"23","Murici",1,"2015","Todos","Todas","Alagoas"
"24","Olho D'água das Flores",3,"2015","Todos","Todas","Alagoas"
"25","Olho D'água do Casado",29,"2015","Todos","Todas","Alagoas"
"26","Ouro Branco",14,"2015","Todos","Todas","Alagoas"
"27","Palestina",5,"2015","Todos","Todas","Alagoas"
"28","Palmeira dos Índios",653,"2015","Todos","Todas","Alagoas"
"29","Penedo",332,"2015","Todos","Todas","Alagoas"
"30","Piaçabuçu",5,"2015","Todos","Todas","Alagoas"
"31","Piranhas",38,"2015","Todos","Todas","Alagoas"
"32","Porto Calvo",26,"2015","Todos","Todas","Alagoas"
"33","Porto Real do Colégio",56,"2015","Todos","Todas","Alagoas"
"34","Porto de Pedras",5,"2015","Todos","Todas","Alagoas"
"35","Poço das Trincheiras",21,"2015","Todos","Todas","Alagoas"
"36","Arapiraca",544,"2015","Todos","Todas","Alagoas"
"37","Atalaia",111,"2015","Todos","Todas","Alagoas"
"38","Barra de São Miguel",7,"2015","Todos","Todas","Alagoas"
"39","Belém",33,"2015","Todos","Todas","Alagoas"
"40","Branquinha",1,"2015","Todos","Todas","Alagoas"
"41","Campestre",2,"2015","Todos","Todas","Alagoas"
"42","Canapi",60,"2015","Todos","Todas","Alagoas"
"43","Capela",3,"2015","Todos","Todas","Alagoas"
"44","Craíbas",56,"2015","Todos","Todas","Alagoas"
"45","Dois Riachos",28,"2015","Todos","Todas","Alagoas"
"46","Feira Grande",25,"2015","Todos","Todas","Alagoas"
"47","Flexeiras",1,"2015","Todos","Todas","Alagoas"
"48","Girau do Ponciano",2,"2015","Todos","Todas","Alagoas"
"49","Inhapi",2,"2015","Todos","Todas","Alagoas"
"50","Jacuípe",9,"2015","Todos","Todas","Alagoas"
"51","Jaramataia",3,"2015","Todos","Todas","Alagoas"
"52","Jequiá da Praia",6,"2015","Todos","Todas","Alagoas"
"53","Jundiá",20,"2015","Todos","Todas","Alagoas"
"54","Junqueiro",47,"2015","Todos","Todas","Alagoas"
"55","Lagoa da Canoa",8,"2015","Todos","Todas","Alagoas"
