"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ubajara",22,"2015","Todos","Todas","Ceará"
"2","Viçosa do Ceará",101,"2015","Todos","Todas","Ceará"
"3","Palhano",24,"2015","Todos","Todas","Ceará"
"4","Palmácia",38,"2015","Todos","Todas","Ceará"
"5","Paracuru",155,"2015","Todos","Todas","Ceará"
"6","Pedra Branca",1,"2015","Todos","Todas","Ceará"
"7","Penaforte",50,"2015","Todos","Todas","Ceará"
"8","Piquet Carneiro",86,"2015","Todos","Todas","Ceará"
"9","Potiretama",1,"2015","Todos","Todas","Ceará"
"10","Quixadá",4,"2015","Todos","Todas","Ceará"
"11","Quixeramobim",344,"2015","Todos","Todas","Ceará"
"12","Russas",307,"2015","Todos","Todas","Ceará"
"13","Salitre",66,"2015","Todos","Todas","Ceará"
"14","Santa Quitéria",167,"2015","Todos","Todas","Ceará"
"15","Senador Pompeu",36,"2015","Todos","Todas","Ceará"
"16","Sobral",1,"2015","Todos","Todas","Ceará"
"17","São Benedito",68,"2015","Todos","Todas","Ceará"
"18","São Gonçalo do Amarante",39,"2015","Todos","Todas","Ceará"
"19","Tabuleiro do Norte",145,"2015","Todos","Todas","Ceará"
"20","Tauá",232,"2015","Todos","Todas","Ceará"
"21","Tianguá",226,"2015","Todos","Todas","Ceará"
"22","Trairi",1,"2015","Todos","Todas","Ceará"
"23","Ipaporanga",60,"2015","Todos","Todas","Ceará"
"24","Irauçuba",62,"2015","Todos","Todas","Ceará"
"25","Itapiúna",26,"2015","Todos","Todas","Ceará"
"26","Itarema",2,"2015","Todos","Todas","Ceará"
"27","Jaguaretama",98,"2015","Todos","Todas","Ceará"
"28","Jaguaribe",16,"2015","Todos","Todas","Ceará"
"29","Lavras da Mangabeira",165,"2015","Todos","Todas","Ceará"
"30","Limoeiro do Norte",216,"2015","Todos","Todas","Ceará"
"31","Madalena",100,"2015","Todos","Todas","Ceará"
"32","Maracanau",719,"2015","Todos","Todas","Ceará"
"33","Maranguape",25,"2015","Todos","Todas","Ceará"
"34","Marco",23,"2015","Todos","Todas","Ceará"
"35","Milhã",6,"2015","Todos","Todas","Ceará"
"36","Monsenhor Tabosa",79,"2015","Todos","Todas","Ceará"
"37","Mulungu",1,"2015","Todos","Todas","Ceará"
"38","Nova Russas",141,"2015","Todos","Todas","Ceará"
"39","Novo Oriente",197,"2015","Todos","Todas","Ceará"
"40","Ocara",71,"2015","Todos","Todas","Ceará"
"41","Orós",14,"2015","Todos","Todas","Ceará"
"42","Pacatuba",113,"2015","Todos","Todas","Ceará"
"43","Acarapé",47,"2015","Todos","Todas","Ceará"
"44","Aracati",69,"2015","Todos","Todas","Ceará"
"45","Aratuba",59,"2015","Todos","Todas","Ceará"
"46","Barbalha",687,"2015","Todos","Todas","Ceará"
"47","Barreira",68,"2015","Todos","Todas","Ceará"
"48","Beberibe",41,"2015","Todos","Todas","Ceará"
"49","Bela Cruz",103,"2015","Todos","Todas","Ceará"
"50","Campos Sales",137,"2015","Todos","Todas","Ceará"
"51","Carnaubal",68,"2015","Todos","Todas","Ceará"
"52","Catarina",67,"2015","Todos","Todas","Ceará"
"53","Caucaia",50,"2015","Todos","Todas","Ceará"
"54","Coreaú",19,"2015","Todos","Todas","Ceará"
"55","Fortaleza",2832,"2015","Todos","Todas","Ceará"
"56","Fortim",43,"2015","Todos","Todas","Ceará"
"57","Granja",30,"2015","Todos","Todas","Ceará"
"58","Guaramiranga",19,"2015","Todos","Todas","Ceará"
"59","Hidrolândia",8,"2015","Todos","Todas","Ceará"
"60","Ibiapina",5,"2015","Todos","Todas","Ceará"
"61","Iguatu",15,"2015","Todos","Todas","Ceará"
"62","Independência",7,"2015","Todos","Todas","Ceará"
