"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Umbaúba",80,"2015","Todos","Todas","Sergipe"
"2","Pinhão",19,"2015","Todos","Todas","Sergipe"
"3","Pirambu",23,"2015","Todos","Todas","Sergipe"
"4","Porto da Folha",86,"2015","Todos","Todas","Sergipe"
"5","Poço Redondo",10,"2015","Todos","Todas","Sergipe"
"6","Poço Verde",79,"2015","Todos","Todas","Sergipe"
"7","Propriá",325,"2015","Todos","Todas","Sergipe"
"8","Riachão do Dantas",67,"2015","Todos","Todas","Sergipe"
"9","Ribeirópolis",1,"2015","Todos","Todas","Sergipe"
"10","Rosario do Catete",19,"2015","Todos","Todas","Sergipe"
"11","Salgado",37,"2015","Todos","Todas","Sergipe"
"12","Santa Luzia do Itanhy",36,"2015","Todos","Todas","Sergipe"
"13","Santa Rosa de Lima",17,"2015","Todos","Todas","Sergipe"
"14","Santana do São Francisco",22,"2015","Todos","Todas","Sergipe"
"15","Simão Dias",173,"2015","Todos","Todas","Sergipe"
"16","Siriri",23,"2015","Todos","Todas","Sergipe"
"17","São Cristóvão",236,"2015","Todos","Todas","Sergipe"
"18","São Domingos",25,"2015","Todos","Todas","Sergipe"
"19","São Miguel do Aleixo",10,"2015","Todos","Todas","Sergipe"
"20","Telha",5,"2015","Todos","Todas","Sergipe"
"21","Tobias Barreto",292,"2015","Todos","Todas","Sergipe"
"22","Itaporanga D'ajuda",118,"2015","Todos","Todas","Sergipe"
"23","Japaratuba",59,"2015","Todos","Todas","Sergipe"
"24","Japoatã",82,"2015","Todos","Todas","Sergipe"
"25","Lagarto",764,"2015","Todos","Todas","Sergipe"
"26","Laranjeiras",71,"2015","Todos","Todas","Sergipe"
"27","Macambira",19,"2015","Todos","Todas","Sergipe"
"28","Malhada dos Bois",14,"2015","Todos","Todas","Sergipe"
"29","Malhador",41,"2015","Todos","Todas","Sergipe"
"30","Maruim",48,"2015","Todos","Todas","Sergipe"
"31","Monte Alegre de Sergipe",25,"2015","Todos","Todas","Sergipe"
"32","Muribeca",26,"2015","Todos","Todas","Sergipe"
"33","Neópolis",107,"2015","Todos","Todas","Sergipe"
"34","Nossa Senhora Aparecida",35,"2015","Todos","Todas","Sergipe"
"35","Nossa Senhora da Glória",237,"2015","Todos","Todas","Sergipe"
"36","Nossa Senhora das Dores",99,"2015","Todos","Todas","Sergipe"
"37","Nossa Senhora de Lourdes",23,"2015","Todos","Todas","Sergipe"
"38","Nossa Senhora do Socorro",583,"2015","Todos","Todas","Sergipe"
"39","Pacatuba",31,"2015","Todos","Todas","Sergipe"
"40","Pedra Mole",10,"2015","Todos","Todas","Sergipe"
"41","Pedrinhas",37,"2015","Todos","Todas","Sergipe"
"42","Aracaju",4955,"2015","Todos","Todas","Sergipe"
"43","Arauá",27,"2015","Todos","Todas","Sergipe"
"44","Areia Branca",50,"2015","Todos","Todas","Sergipe"
"45","Barra dos Coqueiros",74,"2015","Todos","Todas","Sergipe"
"46","Boquim",105,"2015","Todos","Todas","Sergipe"
"47","Brejo Grande",31,"2015","Todos","Todas","Sergipe"
"48","Capela",72,"2015","Todos","Todas","Sergipe"
"49","Carira",117,"2015","Todos","Todas","Sergipe"
"50","Carmopolis",44,"2015","Todos","Todas","Sergipe"
"51","Cedro de São João",39,"2015","Todos","Todas","Sergipe"
"52","Cumbe",10,"2015","Todos","Todas","Sergipe"
"53","Divina Pastora",10,"2015","Todos","Todas","Sergipe"
"54","Estância",494,"2015","Todos","Todas","Sergipe"
"55","Feira Nova",16,"2015","Todos","Todas","Sergipe"
"56","Frei Paulo",46,"2015","Todos","Todas","Sergipe"
"57","General Maynard",3,"2015","Todos","Todas","Sergipe"
"58","Ilha das Flores",23,"2015","Todos","Todas","Sergipe"
"59","Indiaroba",51,"2015","Todos","Todas","Sergipe"
"60","Itabaiana",796,"2015","Todos","Todas","Sergipe"
"61","Itabaianinha",139,"2015","Todos","Todas","Sergipe"
