"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",25,"2016","Todos","Todas","Acre"
"2","Assis Brasil",1,"2016","Todos","Todas","Acre"
"3","Brasiléia",119,"2016","Todos","Todas","Acre"
"4","Bujari",10,"2016","Todos","Todas","Acre"
"5","Capixaba",22,"2016","Todos","Todas","Acre"
"6","Cruzeiro do Sul",417,"2016","Todos","Todas","Acre"
"7","Epitaciolândia",27,"2016","Todos","Todas","Acre"
"8","Feijó",96,"2016","Todos","Todas","Acre"
"9","Manoel Urbano",34,"2016","Todos","Todas","Acre"
"10","Marechal Thaumaturgo",1,"2016","Todos","Todas","Acre"
"11","Mâncio Lima",25,"2016","Todos","Todas","Acre"
"12","Plácido de Castro",38,"2016","Todos","Todas","Acre"
"13","Porto Acre",1,"2016","Todos","Todas","Acre"
"14","Porto Walter",16,"2016","Todos","Todas","Acre"
"15","Rio Branco",1436,"2016","Todos","Todas","Acre"
"16","Rodrigues Alves",22,"2016","Todos","Todas","Acre"
"17","Sena Madureira",79,"2016","Todos","Todas","Acre"
"18","Senador Guiomard",62,"2016","Todos","Todas","Acre"
"19","Tarauacá",8,"2016","Todos","Todas","Acre"
"20","Xapuri",47,"2016","Todos","Todas","Acre"
