"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Umuarama",1398,"2016","Todos","Todas","Paraná"
"2","Uniflor",4,"2016","Todos","Todas","Paraná"
"3","União da Vitória",450,"2016","Todos","Todas","Paraná"
"4","Uraí",50,"2016","Todos","Todas","Paraná"
"5","Ventania",47,"2016","Todos","Todas","Paraná"
"6","Vera Cruz do Oeste",38,"2016","Todos","Todas","Paraná"
"7","Verê",37,"2016","Todos","Todas","Paraná"
"8","Virmond",13,"2016","Todos","Todas","Paraná"
"9","Vitorino",10,"2016","Todos","Todas","Paraná"
"10","Wenceslau Braz",143,"2016","Todos","Todas","Paraná"
"11","Xambrê",23,"2016","Todos","Todas","Paraná"
"12","Ângulo",2,"2016","Todos","Todas","Paraná"
"13","São Tomé",16,"2016","Todos","Todas","Paraná"
"14","Tamarana",48,"2016","Todos","Todas","Paraná"
"15","Tamboara",34,"2016","Todos","Todas","Paraná"
"16","Tapejara",57,"2016","Todos","Todas","Paraná"
"17","Tapira",21,"2016","Todos","Todas","Paraná"
"18","Teixeira Soares",34,"2016","Todos","Todas","Paraná"
"19","Telemaco Borba",548,"2016","Todos","Todas","Paraná"
"20","Terra Boa",79,"2016","Todos","Todas","Paraná"
"21","Terra Rica",85,"2016","Todos","Todas","Paraná"
"22","Terra Roxa",69,"2016","Todos","Todas","Paraná"
"23","Tibagi",116,"2016","Todos","Todas","Paraná"
"24","Tijucas do Sul",65,"2016","Todos","Todas","Paraná"
"25","Toledo",979,"2016","Todos","Todas","Paraná"
"26","Tomazina",37,"2016","Todos","Todas","Paraná"
"27","Três Barras do Paraná",61,"2016","Todos","Todas","Paraná"
"28","Tunas do Paraná",23,"2016","Todos","Todas","Paraná"
"29","Tuneiras do Oeste",42,"2016","Todos","Todas","Paraná"
"30","Tupãssi",35,"2016","Todos","Todas","Paraná"
"31","Turvo",73,"2016","Todos","Todas","Paraná"
"32","Ubiratã",150,"2016","Todos","Todas","Paraná"
"33","Siqueira Campos",103,"2016","Todos","Todas","Paraná"
"34","Sulina",11,"2016","Todos","Todas","Paraná"
"35","São Carlos do Ivaí",31,"2016","Todos","Todas","Paraná"
"36","São Jerônimo da Serra",41,"2016","Todos","Todas","Paraná"
"37","São Jorge D'oeste",46,"2016","Todos","Todas","Paraná"
"38","São Jorge do Ivaí",20,"2016","Todos","Todas","Paraná"
"39","São Jorge do Patrocínio",31,"2016","Todos","Todas","Paraná"
"40","São José da Boa Vista",27,"2016","Todos","Todas","Paraná"
"41","São José das Palmeiras",11,"2016","Todos","Todas","Paraná"
"42","São José dos Pinhais",1041,"2016","Todos","Todas","Paraná"
"43","São João",45,"2016","Todos","Todas","Paraná"
"44","São João do Caiuá",30,"2016","Todos","Todas","Paraná"
"45","São João do Ivaí",78,"2016","Todos","Todas","Paraná"
"46","São João do Triunfo",55,"2016","Todos","Todas","Paraná"
"47","São Manoel do Paraná",3,"2016","Todos","Todas","Paraná"
"48","São Mateus do Sul",170,"2016","Todos","Todas","Paraná"
"49","São Miguel do Iguaçu",83,"2016","Todos","Todas","Paraná"
"50","São Pedro do Iguaçu",24,"2016","Todos","Todas","Paraná"
"51","São Pedro do Ivaí",33,"2016","Todos","Todas","Paraná"
"52","São Sebastião da Amoreira",27,"2016","Todos","Todas","Paraná"
"53","Santa Isabel do Ivaí",63,"2016","Todos","Todas","Paraná"
"54","Santa Izabel do Oeste",58,"2016","Todos","Todas","Paraná"
"55","Santa Lúcia",14,"2016","Todos","Todas","Paraná"
"56","Santa Maria do Oeste",48,"2016","Todos","Todas","Paraná"
"57","Santa Mariana",66,"2016","Todos","Todas","Paraná"
"58","Santa Mônica",9,"2016","Todos","Todas","Paraná"
"59","Santa Tereza do Oeste",44,"2016","Todos","Todas","Paraná"
"60","Santa Terezinha de Itaipu",51,"2016","Todos","Todas","Paraná"
"61","Santo Antônio da Platina",334,"2016","Todos","Todas","Paraná"
"62","Santo Antônio do Caiuá",17,"2016","Todos","Todas","Paraná"
"63","Santo Antônio do Paraíso",11,"2016","Todos","Todas","Paraná"
"64","Santo Antônio do Sudoeste",128,"2016","Todos","Todas","Paraná"
"65","Santo Inácio",16,"2016","Todos","Todas","Paraná"
"66","Sapopema",31,"2016","Todos","Todas","Paraná"
"67","Sarandi",668,"2016","Todos","Todas","Paraná"
"68","Saudade do Iguaçu",17,"2016","Todos","Todas","Paraná"
"69","Sengés",51,"2016","Todos","Todas","Paraná"
"70","Serranópolis do Iguaçu",3,"2016","Todos","Todas","Paraná"
"71","Sertaneja",20,"2016","Todos","Todas","Paraná"
"72","Sertanópolis",58,"2016","Todos","Todas","Paraná"
"73","Ribeirão do Pinhal",80,"2016","Todos","Todas","Paraná"
"74","Rio Azul",81,"2016","Todos","Todas","Paraná"
"75","Rio Bom",17,"2016","Todos","Todas","Paraná"
"76","Rio Bonito do Iguaçu",44,"2016","Todos","Todas","Paraná"
"77","Rio Branco do Ivaí",8,"2016","Todos","Todas","Paraná"
"78","Rio Branco do Sul",130,"2016","Todos","Todas","Paraná"
"79","Rio Negro",205,"2016","Todos","Todas","Paraná"
"80","Rolandia",264,"2016","Todos","Todas","Paraná"
"81","Roncador",78,"2016","Todos","Todas","Paraná"
"82","Rondon",38,"2016","Todos","Todas","Paraná"
"83","Rosário do Ivaí",47,"2016","Todos","Todas","Paraná"
"84","Sabáudia",16,"2016","Todos","Todas","Paraná"
"85","Salgado Filho",17,"2016","Todos","Todas","Paraná"
"86","Salto do Itararé",40,"2016","Todos","Todas","Paraná"
"87","Salto do Lontra",56,"2016","Todos","Todas","Paraná"
"88","Santa Amélia",14,"2016","Todos","Todas","Paraná"
"89","Santa Cecília do Pavão",14,"2016","Todos","Todas","Paraná"
"90","Santa Cruz de Monte Castelo",24,"2016","Todos","Todas","Paraná"
"91","Santa Fé",31,"2016","Todos","Todas","Paraná"
"92","Santa Helena",125,"2016","Todos","Todas","Paraná"
"93","Prudentópolis",292,"2016","Todos","Todas","Paraná"
"94","Pérola",57,"2016","Todos","Todas","Paraná"
"95","Pérola D'oeste",22,"2016","Todos","Todas","Paraná"
"96","Quarto Centenário",6,"2016","Todos","Todas","Paraná"
"97","Quatiguá",43,"2016","Todos","Todas","Paraná"
"98","Quatro Barras",49,"2016","Todos","Todas","Paraná"
"99","Quatro Pontes",9,"2016","Todos","Todas","Paraná"
"100","Quedas do Iguaçu",161,"2016","Todos","Todas","Paraná"
"101","Querência do Norte",60,"2016","Todos","Todas","Paraná"
"102","Quinta do Sol",8,"2016","Todos","Todas","Paraná"
"103","Quitandinha",84,"2016","Todos","Todas","Paraná"
"104","Ramilândia",6,"2016","Todos","Todas","Paraná"
"105","Rancho Alegre",11,"2016","Todos","Todas","Paraná"
"106","Rancho Alegre D'oeste",5,"2016","Todos","Todas","Paraná"
"107","Realeza",76,"2016","Todos","Todas","Paraná"
"108","Rebouças",85,"2016","Todos","Todas","Paraná"
"109","Renascença",20,"2016","Todos","Todas","Paraná"
"110","Reserva",151,"2016","Todos","Todas","Paraná"
"111","Reserva do Iguaçu",15,"2016","Todos","Todas","Paraná"
"112","Ribeirão Claro",75,"2016","Todos","Todas","Paraná"
"113","Pinhal de São Bento",9,"2016","Todos","Todas","Paraná"
"114","Pinhalão",38,"2016","Todos","Todas","Paraná"
"115","Pinhão",149,"2016","Todos","Todas","Paraná"
"116","Piraquara",291,"2016","Todos","Todas","Paraná"
"117","Piraí do Sul",104,"2016","Todos","Todas","Paraná"
"118","Pitanga",215,"2016","Todos","Todas","Paraná"
"119","Pitangueiras",4,"2016","Todos","Todas","Paraná"
"120","Piên",40,"2016","Todos","Todas","Paraná"
"121","Planaltina do Paraná",17,"2016","Todos","Todas","Paraná"
