"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Taipu",25,"2016","Todos","Todas","Rio Grande do Norte"
"2","Tibau",3,"2016","Todos","Todas","Rio Grande do Norte"
"3","Touros",16,"2016","Todos","Todas","Rio Grande do Norte"
"4","Upanema",52,"2016","Todos","Todas","Rio Grande do Norte"
"5","Vera Cruz",67,"2016","Todos","Todas","Rio Grande do Norte"
"6","Vila Flor",12,"2016","Todos","Todas","Rio Grande do Norte"
"7","Lagoa de Velhos",22,"2016","Todos","Todas","Rio Grande do Norte"
"8","Macaíba",85,"2016","Todos","Todas","Rio Grande do Norte"
"9","Mossoró",1851,"2016","Todos","Todas","Rio Grande do Norte"
"10","Natal",2608,"2016","Todos","Todas","Rio Grande do Norte"
"11","Nísia Floresta",6,"2016","Todos","Todas","Rio Grande do Norte"
"12","Parelhas",145,"2016","Todos","Todas","Rio Grande do Norte"
"13","Parnamirim",820,"2016","Todos","Todas","Rio Grande do Norte"
"14","Rafael Godeiro",3,"2016","Todos","Todas","Rio Grande do Norte"
"15","Riachuelo",16,"2016","Todos","Todas","Rio Grande do Norte"
"16","Rio do Fogo",25,"2016","Todos","Todas","Rio Grande do Norte"
"17","Santa Maria",12,"2016","Todos","Todas","Rio Grande do Norte"
"18","Serra Negra do Norte",2,"2016","Todos","Todas","Rio Grande do Norte"
"19","Serra do Mel",38,"2016","Todos","Todas","Rio Grande do Norte"
"20","São Bento do Norte",17,"2016","Todos","Todas","Rio Grande do Norte"
"21","São Gonçalo do Amarante",307,"2016","Todos","Todas","Rio Grande do Norte"
"22","São José do Campestre",68,"2016","Todos","Todas","Rio Grande do Norte"
"23","São José do Seridó",1,"2016","Todos","Todas","Rio Grande do Norte"
"24","São Miguel do Gostoso",30,"2016","Todos","Todas","Rio Grande do Norte"
"25","São Paulo do Potengi",22,"2016","Todos","Todas","Rio Grande do Norte"
"26","Sítio Novo",21,"2016","Todos","Todas","Rio Grande do Norte"
"27","Arez",39,"2016","Todos","Todas","Rio Grande do Norte"
"28","Açu",214,"2016","Todos","Todas","Rio Grande do Norte"
"29","Baraúna",73,"2016","Todos","Todas","Rio Grande do Norte"
"30","Bento Fernandes",22,"2016","Todos","Todas","Rio Grande do Norte"
"31","Bom Jesus",51,"2016","Todos","Todas","Rio Grande do Norte"
"32","Caiçara do Rio do Vento",11,"2016","Todos","Todas","Rio Grande do Norte"
"33","Canguaretama",1,"2016","Todos","Todas","Rio Grande do Norte"
"34","Caraúbas",63,"2016","Todos","Todas","Rio Grande do Norte"
"35","Carnaubais",40,"2016","Todos","Todas","Rio Grande do Norte"
"36","Ceará-Mirim",311,"2016","Todos","Todas","Rio Grande do Norte"
"37","Coronel Ezequiel",23,"2016","Todos","Todas","Rio Grande do Norte"
"38","Currais Novos",433,"2016","Todos","Todas","Rio Grande do Norte"
"39","Equador",37,"2016","Todos","Todas","Rio Grande do Norte"
"40","Florânia",73,"2016","Todos","Todas","Rio Grande do Norte"
"41","Goianinha",152,"2016","Todos","Todas","Rio Grande do Norte"
"42","Itajá",19,"2016","Todos","Todas","Rio Grande do Norte"
"43","Jandaíra",43,"2016","Todos","Todas","Rio Grande do Norte"
"44","José da Penha",2,"2016","Todos","Todas","Rio Grande do Norte"
"45","Jucurutu",35,"2016","Todos","Todas","Rio Grande do Norte"
"46","Lagoa Nova",41,"2016","Todos","Todas","Rio Grande do Norte"
