"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xique-Xique",222,"2017","Todos","Todas","Bahia"
"2","Serra do Ramalho",113,"2017","Todos","Todas","Bahia"
"3","Serrinha",396,"2017","Todos","Todas","Bahia"
"4","São Desidério",59,"2017","Todos","Todas","Bahia"
"5","São Felipe",58,"2017","Todos","Todas","Bahia"
"6","São Félix",23,"2017","Todos","Todas","Bahia"
"7","São Félix do Coribe",57,"2017","Todos","Todas","Bahia"
"8","São Gonçalo dos Campos",22,"2017","Todos","Todas","Bahia"
"9","São Sebastião do Passé",17,"2017","Todos","Todas","Bahia"
"10","Taperoá",31,"2017","Todos","Todas","Bahia"
"11","Teixeira de Freitas",1241,"2017","Todos","Todas","Bahia"
"12","Teodoro Sampaio",34,"2017","Todos","Todas","Bahia"
"13","Terra Nova",43,"2017","Todos","Todas","Bahia"
"14","Tremedal",43,"2017","Todos","Todas","Bahia"
"15","Tucano",32,"2017","Todos","Todas","Bahia"
"16","Ubaitaba",102,"2017","Todos","Todas","Bahia"
"17","Urandi",76,"2017","Todos","Todas","Bahia"
"18","Uruçuca",76,"2017","Todos","Todas","Bahia"
"19","Valença",162,"2017","Todos","Todas","Bahia"
"20","Vera Cruz",172,"2017","Todos","Todas","Bahia"
"21","Vitoria da Conquista",875,"2017","Todos","Todas","Bahia"
"22","Prado",4,"2017","Todos","Todas","Bahia"
"23","Presidente Jânio Quadros",29,"2017","Todos","Todas","Bahia"
"24","Presidente Tancredo Neves",84,"2017","Todos","Todas","Bahia"
"25","Pé de Serra",63,"2017","Todos","Todas","Bahia"
"26","Remanso",185,"2017","Todos","Todas","Bahia"
"27","Riachão do Jacuípe",4,"2017","Todos","Todas","Bahia"
"28","Ribeira do Pombal",459,"2017","Todos","Todas","Bahia"
"29","Rio do Antônio",53,"2017","Todos","Todas","Bahia"
"30","Ruy Barbosa",175,"2017","Todos","Todas","Bahia"
"31","Salvador",9977,"2017","Todos","Todas","Bahia"
"32","Santa Bárbara",87,"2017","Todos","Todas","Bahia"
"33","Santa Cruz Cabrália",78,"2017","Todos","Todas","Bahia"
"34","Santa Maria da Vitória",200,"2017","Todos","Todas","Bahia"
"35","Santa Rita de Cássia",158,"2017","Todos","Todas","Bahia"
"36","Santana",2,"2017","Todos","Todas","Bahia"
"37","Santo Amaro",198,"2017","Todos","Todas","Bahia"
"38","Santo Estêvão",405,"2017","Todos","Todas","Bahia"
"39","Sapeaçu",42,"2017","Todos","Todas","Bahia"
"40","Saúde",154,"2017","Todos","Todas","Bahia"
"41","Sebastião Laranjeiras",40,"2017","Todos","Todas","Bahia"
"42","Maragogipe",147,"2017","Todos","Todas","Bahia"
"43","Mata de Sao Joao",4,"2017","Todos","Todas","Bahia"
"44","Medeiros Neto",8,"2017","Todos","Todas","Bahia"
"45","Miguel Calmon",110,"2017","Todos","Todas","Bahia"
"46","Monte Santo",270,"2017","Todos","Todas","Bahia"
"47","Morpará",17,"2017","Todos","Todas","Bahia"
"48","Mucugê",1,"2017","Todos","Todas","Bahia"
"49","Mucuri",112,"2017","Todos","Todas","Bahia"
"50","Nazaré",95,"2017","Todos","Todas","Bahia"
"51","Nova Itarana",20,"2017","Todos","Todas","Bahia"
"52","Nova Viçosa",135,"2017","Todos","Todas","Bahia"
"53","Olindina",30,"2017","Todos","Todas","Bahia"
"54","Ouriçangas",46,"2017","Todos","Todas","Bahia"
"55","Palmeiras",5,"2017","Todos","Todas","Bahia"
"56","Paulo Afonso",435,"2017","Todos","Todas","Bahia"
"57","Pindobaçu",121,"2017","Todos","Todas","Bahia"
"58","Piripá",63,"2017","Todos","Todas","Bahia"
"59","Piritiba",97,"2017","Todos","Todas","Bahia"
"60","Porto Seguro",41,"2017","Todos","Todas","Bahia"
"61","Poções",310,"2017","Todos","Todas","Bahia"
"62","Itamaraju",466,"2017","Todos","Todas","Bahia"
"63","Itaparica",35,"2017","Todos","Todas","Bahia"
"64","Itapetinga",456,"2017","Todos","Todas","Bahia"
"65","Itapicuru",34,"2017","Todos","Todas","Bahia"
"66","Itapé",47,"2017","Todos","Todas","Bahia"
"67","Itatim",49,"2017","Todos","Todas","Bahia"
"68","Itororó",106,"2017","Todos","Todas","Bahia"
