"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vila Nova dos Martírios",24,"2017","Todos","Todas","Maranhão"
"2","Vitorino Freire",95,"2017","Todos","Todas","Maranhão"
"3","Senador La Roque",52,"2017","Todos","Todas","Maranhão"
"4","Sucupira do Norte",29,"2017","Todos","Todas","Maranhão"
"5","São Bernardo",15,"2017","Todos","Todas","Maranhão"
"6","São Domingos do Azeitão",23,"2017","Todos","Todas","Maranhão"
"7","São Domingos do Maranhão",90,"2017","Todos","Todas","Maranhão"
"8","São Francisco do Brejão",17,"2017","Todos","Todas","Maranhão"
"9","São Francisco do Maranhão",14,"2017","Todos","Todas","Maranhão"
"10","São Félix de Balsas",18,"2017","Todos","Todas","Maranhão"
"11","São João do Paraíso",29,"2017","Todos","Todas","Maranhão"
"12","São João do Soter",35,"2017","Todos","Todas","Maranhão"
"13","São João dos Patos",54,"2017","Todos","Todas","Maranhão"
"14","São Luís",202,"2017","Todos","Todas","Maranhão"
"15","São Luís Gonzaga do Maranhão",48,"2017","Todos","Todas","Maranhão"
"16","Sítio Novo",8,"2017","Todos","Todas","Maranhão"
"17","Tasso Fragoso",20,"2017","Todos","Todas","Maranhão"
"18","Trizidela do Vale",7,"2017","Todos","Todas","Maranhão"
"19","Tufilândia",17,"2017","Todos","Todas","Maranhão"
"20","Tuntum",114,"2017","Todos","Todas","Maranhão"
"21","Turiaçu",3,"2017","Todos","Todas","Maranhão"
"22","Vargem Grande",10,"2017","Todos","Todas","Maranhão"
"23","Olinda Nova do Maranhão",42,"2017","Todos","Todas","Maranhão"
"24","Palmeirândia",48,"2017","Todos","Todas","Maranhão"
"25","Paraibano",51,"2017","Todos","Todas","Maranhão"
"26","Parnarama",70,"2017","Todos","Todas","Maranhão"
"27","Paço do Lumiar",42,"2017","Todos","Todas","Maranhão"
"28","Peri Mirim",21,"2017","Todos","Todas","Maranhão"
"29","Peritoró",17,"2017","Todos","Todas","Maranhão"
"30","Pio Xii",46,"2017","Todos","Todas","Maranhão"
"31","Porto Franco",110,"2017","Todos","Todas","Maranhão"
"32","Presidente Dutra",552,"2017","Todos","Todas","Maranhão"
"33","Presidente Sarney",28,"2017","Todos","Todas","Maranhão"
"34","Primeira Cruz",4,"2017","Todos","Todas","Maranhão"
"35","Raposa",31,"2017","Todos","Todas","Maranhão"
"36","Riachão",106,"2017","Todos","Todas","Maranhão"
"37","Ribamar Fiquene",11,"2017","Todos","Todas","Maranhão"
"38","Sambaíba",22,"2017","Todos","Todas","Maranhão"
"39","Santa Helena",68,"2017","Todos","Todas","Maranhão"
"40","Santa Inês",495,"2017","Todos","Todas","Maranhão"
"41","Santo Antônio dos Lopes",27,"2017","Todos","Todas","Maranhão"
"42","Satubinha",10,"2017","Todos","Todas","Maranhão"
"43","Itapecuru Mirim",163,"2017","Todos","Todas","Maranhão"
"44","Itinga do Maranhão",62,"2017","Todos","Todas","Maranhão"
"45","Jatobá",2,"2017","Todos","Todas","Maranhão"
"46","Joselândia",4,"2017","Todos","Todas","Maranhão"
"47","Junco do Maranhão",11,"2017","Todos","Todas","Maranhão"
"48","Lago Verde",32,"2017","Todos","Todas","Maranhão"
"49","Lago da Pedra",6,"2017","Todos","Todas","Maranhão"
"50","Lago dos Rodrigues",7,"2017","Todos","Todas","Maranhão"
"51","Lagoa Grande do Maranhão",14,"2017","Todos","Todas","Maranhão"
"52","Lagoa do Mato",23,"2017","Todos","Todas","Maranhão"
"53","Lajeado Novo",17,"2017","Todos","Todas","Maranhão"
"54","Lima Campos",1,"2017","Todos","Todas","Maranhão"
"55","Maracaçumé",21,"2017","Todos","Todas","Maranhão"
"56","Mata Roma",43,"2017","Todos","Todas","Maranhão"
"57","Matões do Norte",29,"2017","Todos","Todas","Maranhão"
"58","Mirador",47,"2017","Todos","Todas","Maranhão"
"59","Miranda do Norte",64,"2017","Todos","Todas","Maranhão"
"60","Montes Altos",40,"2017","Todos","Todas","Maranhão"
"61","Monção",76,"2017","Todos","Todas","Maranhão"
"62","Morros",41,"2017","Todos","Todas","Maranhão"
"63","Carolina",91,"2017","Todos","Todas","Maranhão"
"64","Caxias",40,"2017","Todos","Todas","Maranhão"
"65","Chapadinha",13,"2017","Todos","Todas","Maranhão"
"66","Cidelândia",34,"2017","Todos","Todas","Maranhão"
"67","Codó",28,"2017","Todos","Todas","Maranhão"
"68","Conceição do Lago-Açu",27,"2017","Todos","Todas","Maranhão"
"69","Coroatá",17,"2017","Todos","Todas","Maranhão"
"70","Duque Bacelar",33,"2017","Todos","Todas","Maranhão"
"71","Esperantinópolis",75,"2017","Todos","Todas","Maranhão"
"72","Feira Nova do Maranhão",27,"2017","Todos","Todas","Maranhão"
"73","Formosa da Serra Negra",37,"2017","Todos","Todas","Maranhão"
"74","Fortuna",39,"2017","Todos","Todas","Maranhão"
"75","Governador Edson Lobão",45,"2017","Todos","Todas","Maranhão"
"76","Governador Luiz Rocha",11,"2017","Todos","Todas","Maranhão"
"77","Governador Newton Bello",14,"2017","Todos","Todas","Maranhão"
"78","Governador Nunes Freire",113,"2017","Todos","Todas","Maranhão"
"79","Grajaú",278,"2017","Todos","Todas","Maranhão"
"80","Humberto de Campos",47,"2017","Todos","Todas","Maranhão"
"81","Igarapé Grande",53,"2017","Todos","Todas","Maranhão"
"82","Itaipava do Grajaú",32,"2017","Todos","Todas","Maranhão"
"83","Alcântara",40,"2017","Todos","Todas","Maranhão"
"84","Alto Parnaíba",54,"2017","Todos","Todas","Maranhão"
"85","Amapá do Maranhão",19,"2017","Todos","Todas","Maranhão"
"86","Apicum-Açu",16,"2017","Todos","Todas","Maranhão"
"87","Araguanã",22,"2017","Todos","Todas","Maranhão"
"88","Arari",76,"2017","Todos","Todas","Maranhão"
"89","Açailandia",333,"2017","Todos","Todas","Maranhão"
"90","Bacabal",524,"2017","Todos","Todas","Maranhão"
"91","Bacabeira",4,"2017","Todos","Todas","Maranhão"
"92","Balsas",73,"2017","Todos","Todas","Maranhão"
"93","Barreirinhas",32,"2017","Todos","Todas","Maranhão"
"94","Benedito Leite",20,"2017","Todos","Todas","Maranhão"
"95","Bequimão",1,"2017","Todos","Todas","Maranhão"
"96","Bom Jardim",4,"2017","Todos","Todas","Maranhão"
"97","Bom Jesus das Selvas",59,"2017","Todos","Todas","Maranhão"
"98","Bom Lugar",19,"2017","Todos","Todas","Maranhão"
"99","Buriti",67,"2017","Todos","Todas","Maranhão"
"100","Buritirana",48,"2017","Todos","Todas","Maranhão"
"101","Cachoeira Grande",29,"2017","Todos","Todas","Maranhão"
"102","Campestre do Maranhão",34,"2017","Todos","Todas","Maranhão"
