"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Varzea Grande",341,"2017","Todos","Todas","Mato Grosso"
"2","Vera",15,"2017","Todos","Todas","Mato Grosso"
"3","Vila Bela da Santíssima Trindade",38,"2017","Todos","Todas","Mato Grosso"
"4","Vila Rica",57,"2017","Todos","Todas","Mato Grosso"
"5","Água Boa",124,"2017","Todos","Todas","Mato Grosso"
"6","Rio Branco",16,"2017","Todos","Todas","Mato Grosso"
"7","Rondonópolis",1604,"2017","Todos","Todas","Mato Grosso"
"8","Rosário Oeste",55,"2017","Todos","Todas","Mato Grosso"
"9","Salto do Céu",13,"2017","Todos","Todas","Mato Grosso"
"10","Santa Rita do Trivelato",4,"2017","Todos","Todas","Mato Grosso"
"11","Santa Terezinha",29,"2017","Todos","Todas","Mato Grosso"
"12","Santo Afonso",12,"2017","Todos","Todas","Mato Grosso"
"13","Santo Antônio do Leverger",13,"2017","Todos","Todas","Mato Grosso"
"14","Sapezal",53,"2017","Todos","Todas","Mato Grosso"
"15","Sinop",811,"2017","Todos","Todas","Mato Grosso"
"16","Sorriso",507,"2017","Todos","Todas","Mato Grosso"
"17","São Félix do Araguaia",60,"2017","Todos","Todas","Mato Grosso"
"18","São José do Povo",17,"2017","Todos","Todas","Mato Grosso"
"19","São José dos Quatro Marcos",60,"2017","Todos","Todas","Mato Grosso"
"20","Tabaporã",19,"2017","Todos","Todas","Mato Grosso"
"21","Tangará da Serra",519,"2017","Todos","Todas","Mato Grosso"
"22","Tapurah",20,"2017","Todos","Todas","Mato Grosso"
"23","Terra Nova do Norte",56,"2017","Todos","Todas","Mato Grosso"
"24","Torixoréu",22,"2017","Todos","Todas","Mato Grosso"
"25","União do Sul",5,"2017","Todos","Todas","Mato Grosso"
"26","Nova Maringá",21,"2017","Todos","Todas","Mato Grosso"
"27","Nova Monte Verde",23,"2017","Todos","Todas","Mato Grosso"
"28","Nova Mutum",107,"2017","Todos","Todas","Mato Grosso"
"29","Nova Ubiratã",20,"2017","Todos","Todas","Mato Grosso"
"30","Nova Xavantina",62,"2017","Todos","Todas","Mato Grosso"
"31","Novo Horizonte do Norte",17,"2017","Todos","Todas","Mato Grosso"
"32","Novo Mundo",17,"2017","Todos","Todas","Mato Grosso"
"33","Paranatinga",87,"2017","Todos","Todas","Mato Grosso"
"34","Paranaíta",29,"2017","Todos","Todas","Mato Grosso"
"35","Pedra Preta",87,"2017","Todos","Todas","Mato Grosso"
"36","Peixoto de Azevedo",124,"2017","Todos","Todas","Mato Grosso"
"37","Planalto da Serra",3,"2017","Todos","Todas","Mato Grosso"
"38","Pontal do Araguaia",5,"2017","Todos","Todas","Mato Grosso"
"39","Pontes e Lacerda",184,"2017","Todos","Todas","Mato Grosso"
"40","Porto Alegre do Norte",23,"2017","Todos","Todas","Mato Grosso"
"41","Porto dos Gaúchos",25,"2017","Todos","Todas","Mato Grosso"
"42","Poxoréo",18,"2017","Todos","Todas","Mato Grosso"
"43","Primavera do Leste",295,"2017","Todos","Todas","Mato Grosso"
"44","Querência",64,"2017","Todos","Todas","Mato Grosso"
"45","Ribeirão Cascalheira",34,"2017","Todos","Todas","Mato Grosso"
"46","Jaciara",95,"2017","Todos","Todas","Mato Grosso"
"47","Jangada",3,"2017","Todos","Todas","Mato Grosso"
"48","Jauru",33,"2017","Todos","Todas","Mato Grosso"
"49","Juara",161,"2017","Todos","Todas","Mato Grosso"
"50","Juruena",21,"2017","Todos","Todas","Mato Grosso"
"51","Juscimeira",54,"2017","Todos","Todas","Mato Grosso"
"52","Juína",240,"2017","Todos","Todas","Mato Grosso"
"53","Lucas do Rio Verde",233,"2017","Todos","Todas","Mato Grosso"
"54","Luciára",16,"2017","Todos","Todas","Mato Grosso"
"55","Marcelândia",57,"2017","Todos","Todas","Mato Grosso"
"56","Matupá",68,"2017","Todos","Todas","Mato Grosso"
"57","Mirassol D'oeste",167,"2017","Todos","Todas","Mato Grosso"
"58","Nobres",39,"2017","Todos","Todas","Mato Grosso"
"59","Nortelândia",29,"2017","Todos","Todas","Mato Grosso"
"60","Nossa Senhora do Livramento",26,"2017","Todos","Todas","Mato Grosso"
"61","Nova Bandeirantes",19,"2017","Todos","Todas","Mato Grosso"
"62","Nova Canaã do Norte",47,"2017","Todos","Todas","Mato Grosso"
"63","Nova Guarita",14,"2017","Todos","Todas","Mato Grosso"
"64","Nova Lacerda",14,"2017","Todos","Todas","Mato Grosso"
"65","Nova Marilândia",7,"2017","Todos","Todas","Mato Grosso"
"66","Castanheira",16,"2017","Todos","Todas","Mato Grosso"
"67","Cláudia",29,"2017","Todos","Todas","Mato Grosso"
"68","Colniza",64,"2017","Todos","Todas","Mato Grosso"
"69","Colíder",244,"2017","Todos","Todas","Mato Grosso"
"70","Comodoro",83,"2017","Todos","Todas","Mato Grosso"
"71","Confresa",114,"2017","Todos","Todas","Mato Grosso"
"72","Cotriguaçu",29,"2017","Todos","Todas","Mato Grosso"
"73","Cuiaba",5775,"2017","Todos","Todas","Mato Grosso"
"74","Cáceres",901,"2017","Todos","Todas","Mato Grosso"
"75","Diamantino",69,"2017","Todos","Todas","Mato Grosso"
"76","Dom Aquino",45,"2017","Todos","Todas","Mato Grosso"
"77","Feliz Natal",27,"2017","Todos","Todas","Mato Grosso"
"78","Figueirópolis D'oeste",11,"2017","Todos","Todas","Mato Grosso"
"79","General Carneiro",19,"2017","Todos","Todas","Mato Grosso"
"80","Glória D'oeste",12,"2017","Todos","Todas","Mato Grosso"
"81","Guarantã do Norte",118,"2017","Todos","Todas","Mato Grosso"
"82","Guiratinga",68,"2017","Todos","Todas","Mato Grosso"
"83","Ipiranga do Norte",10,"2017","Todos","Todas","Mato Grosso"
