"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ubiratã",128,"2017","Todos","Todas","Paraná"
"2","Umuarama",1352,"2017","Todos","Todas","Paraná"
"3","Uniflor",4,"2017","Todos","Todas","Paraná"
"4","União da Vitória",406,"2017","Todos","Todas","Paraná"
"5","Uraí",62,"2017","Todos","Todas","Paraná"
"6","Ventania",33,"2017","Todos","Todas","Paraná"
"7","Vera Cruz do Oeste",53,"2017","Todos","Todas","Paraná"
"8","Verê",40,"2017","Todos","Todas","Paraná"
"9","Virmond",14,"2017","Todos","Todas","Paraná"
"10","Vitorino",18,"2017","Todos","Todas","Paraná"
"11","Wenceslau Braz",110,"2017","Todos","Todas","Paraná"
"12","Xambrê",30,"2017","Todos","Todas","Paraná"
"13","Ângulo",6,"2017","Todos","Todas","Paraná"
"14","São Sebastião da Amoreira",25,"2017","Todos","Todas","Paraná"
"15","São Tomé",14,"2017","Todos","Todas","Paraná"
"16","Tamarana",46,"2017","Todos","Todas","Paraná"
"17","Tamboara",27,"2017","Todos","Todas","Paraná"
"18","Tapejara",69,"2017","Todos","Todas","Paraná"
"19","Tapira",34,"2017","Todos","Todas","Paraná"
"20","Teixeira Soares",45,"2017","Todos","Todas","Paraná"
"21","Telemaco Borba",510,"2017","Todos","Todas","Paraná"
"22","Terra Boa",101,"2017","Todos","Todas","Paraná"
"23","Terra Rica",84,"2017","Todos","Todas","Paraná"
"24","Terra Roxa",85,"2017","Todos","Todas","Paraná"
"25","Tibagi",94,"2017","Todos","Todas","Paraná"
"26","Tijucas do Sul",59,"2017","Todos","Todas","Paraná"
"27","Toledo",876,"2017","Todos","Todas","Paraná"
"28","Tomazina",46,"2017","Todos","Todas","Paraná"
"29","Três Barras do Paraná",73,"2017","Todos","Todas","Paraná"
"30","Tunas do Paraná",23,"2017","Todos","Todas","Paraná"
"31","Tuneiras do Oeste",36,"2017","Todos","Todas","Paraná"
"32","Tupãssi",38,"2017","Todos","Todas","Paraná"
"33","Turvo",62,"2017","Todos","Todas","Paraná"
"34","Sertanópolis",56,"2017","Todos","Todas","Paraná"
"35","Siqueira Campos",120,"2017","Todos","Todas","Paraná"
"36","Sulina",13,"2017","Todos","Todas","Paraná"
"37","São Carlos do Ivaí",32,"2017","Todos","Todas","Paraná"
"38","São Jerônimo da Serra",38,"2017","Todos","Todas","Paraná"
"39","São Jorge D'oeste",35,"2017","Todos","Todas","Paraná"
"40","São Jorge do Ivaí",23,"2017","Todos","Todas","Paraná"
"41","São Jorge do Patrocínio",36,"2017","Todos","Todas","Paraná"
"42","São José da Boa Vista",29,"2017","Todos","Todas","Paraná"
"43","São José das Palmeiras",18,"2017","Todos","Todas","Paraná"
"44","São José dos Pinhais",1148,"2017","Todos","Todas","Paraná"
"45","São João",44,"2017","Todos","Todas","Paraná"
"46","São João do Caiuá",34,"2017","Todos","Todas","Paraná"
"47","São João do Ivaí",64,"2017","Todos","Todas","Paraná"
"48","São João do Triunfo",70,"2017","Todos","Todas","Paraná"
"49","São Manoel do Paraná",5,"2017","Todos","Todas","Paraná"
"50","São Mateus do Sul",229,"2017","Todos","Todas","Paraná"
"51","São Miguel do Iguaçu",97,"2017","Todos","Todas","Paraná"
"52","São Pedro do Iguaçu",29,"2017","Todos","Todas","Paraná"
"53","São Pedro do Ivaí",27,"2017","Todos","Todas","Paraná"
"54","Santa Fé",38,"2017","Todos","Todas","Paraná"
"55","Santa Helena",129,"2017","Todos","Todas","Paraná"
"56","Santa Isabel do Ivaí",59,"2017","Todos","Todas","Paraná"
"57","Santa Izabel do Oeste",66,"2017","Todos","Todas","Paraná"
"58","Santa Lúcia",8,"2017","Todos","Todas","Paraná"
"59","Santa Mariana",65,"2017","Todos","Todas","Paraná"
"60","Santa Mônica",15,"2017","Todos","Todas","Paraná"
"61","Santa Tereza do Oeste",34,"2017","Todos","Todas","Paraná"
"62","Santa Terezinha de Itaipu",50,"2017","Todos","Todas","Paraná"
"63","Santo Antônio da Platina",328,"2017","Todos","Todas","Paraná"
"64","Santo Antônio do Caiuá",13,"2017","Todos","Todas","Paraná"
"65","Santo Antônio do Paraíso",9,"2017","Todos","Todas","Paraná"
"66","Santo Antônio do Sudoeste",115,"2017","Todos","Todas","Paraná"
"67","Santo Inácio",14,"2017","Todos","Todas","Paraná"
"68","Sapopema",40,"2017","Todos","Todas","Paraná"
"69","Sarandi",675,"2017","Todos","Todas","Paraná"
"70","Saudade do Iguaçu",21,"2017","Todos","Todas","Paraná"
"71","Sengés",55,"2017","Todos","Todas","Paraná"
"72","Serranópolis do Iguaçu",15,"2017","Todos","Todas","Paraná"
"73","Sertaneja",21,"2017","Todos","Todas","Paraná"
"74","Reserva do Iguaçu",14,"2017","Todos","Todas","Paraná"
"75","Ribeirão Claro",84,"2017","Todos","Todas","Paraná"
"76","Ribeirão do Pinhal",69,"2017","Todos","Todas","Paraná"
"77","Rio Azul",81,"2017","Todos","Todas","Paraná"
"78","Rio Bom",14,"2017","Todos","Todas","Paraná"
"79","Rio Bonito do Iguaçu",43,"2017","Todos","Todas","Paraná"
"80","Rio Branco do Ivaí",9,"2017","Todos","Todas","Paraná"
"81","Rio Branco do Sul",122,"2017","Todos","Todas","Paraná"
"82","Rio Negro",201,"2017","Todos","Todas","Paraná"
"83","Rolandia",275,"2017","Todos","Todas","Paraná"
"84","Roncador",67,"2017","Todos","Todas","Paraná"
"85","Rondon",46,"2017","Todos","Todas","Paraná"
"86","Rosário do Ivaí",31,"2017","Todos","Todas","Paraná"
"87","Sabáudia",18,"2017","Todos","Todas","Paraná"
"88","Salgado Filho",17,"2017","Todos","Todas","Paraná"
"89","Salto do Itararé",28,"2017","Todos","Todas","Paraná"
"90","Salto do Lontra",59,"2017","Todos","Todas","Paraná"
"91","Santa Amélia",28,"2017","Todos","Todas","Paraná"
"92","Santa Cecília do Pavão",12,"2017","Todos","Todas","Paraná"
"93","Santa Cruz de Monte Castelo",22,"2017","Todos","Todas","Paraná"
"94","Pranchita",62,"2017","Todos","Todas","Paraná"
"95","Primeiro de Maio",44,"2017","Todos","Todas","Paraná"
"96","Prudentópolis",335,"2017","Todos","Todas","Paraná"
"97","Pérola",51,"2017","Todos","Todas","Paraná"
"98","Pérola D'oeste",29,"2017","Todos","Todas","Paraná"
"99","Quarto Centenário",10,"2017","Todos","Todas","Paraná"
"100","Quatiguá",43,"2017","Todos","Todas","Paraná"
"101","Quatro Barras",43,"2017","Todos","Todas","Paraná"
"102","Quatro Pontes",21,"2017","Todos","Todas","Paraná"
"103","Quedas do Iguaçu",180,"2017","Todos","Todas","Paraná"
"104","Querência do Norte",66,"2017","Todos","Todas","Paraná"
"105","Quinta do Sol",19,"2017","Todos","Todas","Paraná"
"106","Quitandinha",78,"2017","Todos","Todas","Paraná"
"107","Ramilândia",15,"2017","Todos","Todas","Paraná"
"108","Rancho Alegre",21,"2017","Todos","Todas","Paraná"
"109","Rancho Alegre D'oeste",9,"2017","Todos","Todas","Paraná"
"110","Realeza",65,"2017","Todos","Todas","Paraná"
"111","Rebouças",87,"2017","Todos","Todas","Paraná"
"112","Renascença",19,"2017","Todos","Todas","Paraná"
"113","Reserva",153,"2017","Todos","Todas","Paraná"
"114","Perobal",23,"2017","Todos","Todas","Paraná"
"115","Pinhais",352,"2017","Todos","Todas","Paraná"
"116","Pinhal de São Bento",8,"2017","Todos","Todas","Paraná"
"117","Pinhalão",31,"2017","Todos","Todas","Paraná"
"118","Pinhão",143,"2017","Todos","Todas","Paraná"
"119","Piraquara",333,"2017","Todos","Todas","Paraná"
"120","Piraí do Sul",16,"2017","Todos","Todas","Paraná"
"121","Pitanga",189,"2017","Todos","Todas","Paraná"
"122","Pitangueiras",8,"2017","Todos","Todas","Paraná"
"123","Piên",48,"2017","Todos","Todas","Paraná"
"124","Planaltina do Paraná",28,"2017","Todos","Todas","Paraná"
"125","Planalto",85,"2017","Todos","Todas","Paraná"
"126","Ponta Grossa",2664,"2017","Todos","Todas","Paraná"
"127","Pontal do Parana",133,"2017","Todos","Todas","Paraná"
"128","Porecatu",60,"2017","Todos","Todas","Paraná"
"129","Porto Amazonas",16,"2017","Todos","Todas","Paraná"
"130","Porto Barreiro",14,"2017","Todos","Todas","Paraná"
"131","Porto Rico",11,"2017","Todos","Todas","Paraná"
"132","Porto Vitória",8,"2017","Todos","Todas","Paraná"
"133","Prado Ferreira",10,"2017","Todos","Todas","Paraná"
"134","Nova Tebas",30,"2017","Todos","Todas","Paraná"
"135","Novo Itacolomi",12,"2017","Todos","Todas","Paraná"
"136","Ortigueira",122,"2017","Todos","Todas","Paraná"
"137","Ourizona",13,"2017","Todos","Todas","Paraná"
"138","Ouro Verde do Oeste",18,"2017","Todos","Todas","Paraná"
"139","Paiçandu",123,"2017","Todos","Todas","Paraná"
"140","Palmas",328,"2017","Todos","Todas","Paraná"
"141","Palmeira",187,"2017","Todos","Todas","Paraná"
"142","Palmital",49,"2017","Todos","Todas","Paraná"
"143","Palotina",129,"2017","Todos","Todas","Paraná"
"144","Paranacity",37,"2017","Todos","Todas","Paraná"
"145","Paranagua",1058,"2017","Todos","Todas","Paraná"
"146","Paranapoema",11,"2017","Todos","Todas","Paraná"
"147","Paranavaí",773,"2017","Todos","Todas","Paraná"
"148","Paraíso do Norte",70,"2017","Todos","Todas","Paraná"
"149","Pato Bragado",31,"2017","Todos","Todas","Paraná"
"150","Pato Branco",814,"2017","Todos","Todas","Paraná"
"151","Paula Freitas",18,"2017","Todos","Todas","Paraná"
"152","Paulo Frontin",41,"2017","Todos","Todas","Paraná"
"153","Peabiru",45,"2017","Todos","Todas","Paraná"
"154","Mirador",9,"2017","Todos","Todas","Paraná"
"155","Miraselva",11,"2017","Todos","Todas","Paraná"
"156","Missal",87,"2017","Todos","Todas","Paraná"
"157","Moreira Sales",68,"2017","Todos","Todas","Paraná"
"158","Morretes",107,"2017","Todos","Todas","Paraná"
"159","Munhoz de Melo",15,"2017","Todos","Todas","Paraná"
"160","Nossa Senhora das Graças",13,"2017","Todos","Todas","Paraná"
"161","Nova Aliança do Ivaí",4,"2017","Todos","Todas","Paraná"
"162","Nova América da Colina",7,"2017","Todos","Todas","Paraná"
"163","Nova Aurora",75,"2017","Todos","Todas","Paraná"
"164","Nova Cantu",31,"2017","Todos","Todas","Paraná"
"165","Nova Esperança",122,"2017","Todos","Todas","Paraná"
"166","Nova Esperança do Sudoeste",22,"2017","Todos","Todas","Paraná"
"167","Nova Fátima",24,"2017","Todos","Todas","Paraná"
"168","Nova Laranjeiras",59,"2017","Todos","Todas","Paraná"
"169","Nova Londrina",53,"2017","Todos","Todas","Paraná"
"170","Nova Olímpia",27,"2017","Todos","Todas","Paraná"
"171","Nova Prata do Iguaçu",51,"2017","Todos","Todas","Paraná"
