"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tanguá",116,"2017","Todos","Todas","Rio de Janeiro"
"2","Teresopolis",16,"2017","Todos","Todas","Rio de Janeiro"
"3","Três Rios",5,"2017","Todos","Todas","Rio de Janeiro"
"4","Valença",469,"2017","Todos","Todas","Rio de Janeiro"
"5","Varre-Sai",41,"2017","Todos","Todas","Rio de Janeiro"
"6","Vassouras",122,"2017","Todos","Todas","Rio de Janeiro"
"7","Volta Redonda",623,"2017","Todos","Todas","Rio de Janeiro"
"8","Paty do Alferes",4,"2017","Todos","Todas","Rio de Janeiro"
"9","Petropolis",187,"2017","Todos","Todas","Rio de Janeiro"
"10","Pinheiral",20,"2017","Todos","Todas","Rio de Janeiro"
"11","Pirai",39,"2017","Todos","Todas","Rio de Janeiro"
"12","Porciúncula",17,"2017","Todos","Todas","Rio de Janeiro"
"13","Quatis",40,"2017","Todos","Todas","Rio de Janeiro"
"14","Queimados",1,"2017","Todos","Todas","Rio de Janeiro"
"15","Quissamã",28,"2017","Todos","Todas","Rio de Janeiro"
"16","Resende",8,"2017","Todos","Todas","Rio de Janeiro"
"17","Rio Claro",102,"2017","Todos","Todas","Rio de Janeiro"
"18","Rio das Ostras",398,"2017","Todos","Todas","Rio de Janeiro"
"19","Rio de Janeiro",6691,"2017","Todos","Todas","Rio de Janeiro"
"20","Santo Antônio de Pádua",39,"2017","Todos","Todas","Rio de Janeiro"
"21","Saquarema",119,"2017","Todos","Todas","Rio de Janeiro"
"22","Seropedica",412,"2017","Todos","Todas","Rio de Janeiro"
"23","Sumidouro",15,"2017","Todos","Todas","Rio de Janeiro"
"24","São José do Vale do Rio Preto",4,"2017","Todos","Todas","Rio de Janeiro"
"25","São João da Barra",13,"2017","Todos","Todas","Rio de Janeiro"
"26","São João de Meriti",2574,"2017","Todos","Todas","Rio de Janeiro"
"27","São Pedro da Aldeia",4,"2017","Todos","Todas","Rio de Janeiro"
"28","Iguaba Grande",1,"2017","Todos","Todas","Rio de Janeiro"
"29","Itaborai",877,"2017","Todos","Todas","Rio de Janeiro"
"30","Itaguai",3,"2017","Todos","Todas","Rio de Janeiro"
"31","Itaperuna",1,"2017","Todos","Todas","Rio de Janeiro"
"32","Itatiaia",128,"2017","Todos","Todas","Rio de Janeiro"
"33","Japeri",270,"2017","Todos","Todas","Rio de Janeiro"
"34","Macae",1162,"2017","Todos","Todas","Rio de Janeiro"
"35","Mage",101,"2017","Todos","Todas","Rio de Janeiro"
"36","Mangaratiba",139,"2017","Todos","Todas","Rio de Janeiro"
"37","Maricá",197,"2017","Todos","Todas","Rio de Janeiro"
"38","Mesquita",1,"2017","Todos","Todas","Rio de Janeiro"
"39","Miguel Pereira",306,"2017","Todos","Todas","Rio de Janeiro"
"40","Natividade",54,"2017","Todos","Todas","Rio de Janeiro"
"41","Nilópolis",9,"2017","Todos","Todas","Rio de Janeiro"
"42","Niteroi",476,"2017","Todos","Todas","Rio de Janeiro"
"43","Nova Friburgo",8,"2017","Todos","Todas","Rio de Janeiro"
"44","Nova Iguaçu",25,"2017","Todos","Todas","Rio de Janeiro"
"45","Paracambi",1,"2017","Todos","Todas","Rio de Janeiro"
"46","Paraiba do Sul",245,"2017","Todos","Todas","Rio de Janeiro"
"47","Parati",4,"2017","Todos","Todas","Rio de Janeiro"
"48","Angra dos Reis",66,"2017","Todos","Todas","Rio de Janeiro"
"49","Aperibé",48,"2017","Todos","Todas","Rio de Janeiro"
"50","Araruama",18,"2017","Todos","Todas","Rio de Janeiro"
"51","Armação dos Búzios",13,"2017","Todos","Todas","Rio de Janeiro"
"52","Arraial do Cabo",3,"2017","Todos","Todas","Rio de Janeiro"
"53","Barra Mansa",161,"2017","Todos","Todas","Rio de Janeiro"
"54","Barra do Pirai",5,"2017","Todos","Todas","Rio de Janeiro"
"55","Belford Roxo",75,"2017","Todos","Todas","Rio de Janeiro"
"56","Bom Jardim",198,"2017","Todos","Todas","Rio de Janeiro"
"57","Bom Jesus do Itabapoana",1,"2017","Todos","Todas","Rio de Janeiro"
"58","Cabo Frio",8,"2017","Todos","Todas","Rio de Janeiro"
"59","Cachoeiras de Macacu",14,"2017","Todos","Todas","Rio de Janeiro"
"60","Campos dos Goytacazes",211,"2017","Todos","Todas","Rio de Janeiro"
"61","Cantagalo",46,"2017","Todos","Todas","Rio de Janeiro"
"62","Casimiro de Abreu",111,"2017","Todos","Todas","Rio de Janeiro"
"63","Cordeiro",12,"2017","Todos","Todas","Rio de Janeiro"
"64","Duas Barras",1,"2017","Todos","Todas","Rio de Janeiro"
"65","Duque de Caxias",384,"2017","Todos","Todas","Rio de Janeiro"
"66","Engenheiro Paulo de Frontin",1,"2017","Todos","Todas","Rio de Janeiro"
"67","Guapimirim",2,"2017","Todos","Todas","Rio de Janeiro"
