"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Urussanga",143,"2017","Todos","Todas","Santa Catarina"
"2","Vargem",11,"2017","Todos","Todas","Santa Catarina"
"3","Vargem Bonita",22,"2017","Todos","Todas","Santa Catarina"
"4","Vidal Ramos",14,"2017","Todos","Todas","Santa Catarina"
"5","Videira",348,"2017","Todos","Todas","Santa Catarina"
"6","Vitor Meireles",10,"2017","Todos","Todas","Santa Catarina"
"7","Witmarsum",14,"2017","Todos","Todas","Santa Catarina"
"8","Xanxere",504,"2017","Todos","Todas","Santa Catarina"
"9","Xavantina",22,"2017","Todos","Todas","Santa Catarina"
"10","Xaxim",103,"2017","Todos","Todas","Santa Catarina"
"11","Zortéa",7,"2017","Todos","Todas","Santa Catarina"
"12","Água Doce",28,"2017","Todos","Todas","Santa Catarina"
"13","Águas Frias",2,"2017","Todos","Todas","Santa Catarina"
"14","Águas Mornas",29,"2017","Todos","Todas","Santa Catarina"
"15","Águas de Chapecó",19,"2017","Todos","Todas","Santa Catarina"
"16","São Miguel da Boa Vista",4,"2017","Todos","Todas","Santa Catarina"
"17","São Miguel do Oeste",439,"2017","Todos","Todas","Santa Catarina"
"18","São Pedro de Alcântara",28,"2017","Todos","Todas","Santa Catarina"
"19","Taió",82,"2017","Todos","Todas","Santa Catarina"
"20","Tangará",14,"2017","Todos","Todas","Santa Catarina"
"21","Tigrinhos",2,"2017","Todos","Todas","Santa Catarina"
"22","Tijucas",183,"2017","Todos","Todas","Santa Catarina"
"23","Timbo",281,"2017","Todos","Todas","Santa Catarina"
"24","Timbé do Sul",22,"2017","Todos","Todas","Santa Catarina"
"25","Timbó Grande",29,"2017","Todos","Todas","Santa Catarina"
"26","Treze Tilias",26,"2017","Todos","Todas","Santa Catarina"
"27","Treze de Maio",23,"2017","Todos","Todas","Santa Catarina"
"28","Trombudo Central",75,"2017","Todos","Todas","Santa Catarina"
"29","Três Barras",74,"2017","Todos","Todas","Santa Catarina"
"30","Tubarao",1193,"2017","Todos","Todas","Santa Catarina"
"31","Tunápolis",34,"2017","Todos","Todas","Santa Catarina"
