"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio da Conceição",9,"2017","Todos","Todas","Tocantins"
"2","Sampaio",11,"2017","Todos","Todas","Tocantins"
"3","Santa Fé do Araguaia",28,"2017","Todos","Todas","Tocantins"
"4","Santa Rosa do Tocantins",12,"2017","Todos","Todas","Tocantins"
"5","Silvanópolis",23,"2017","Todos","Todas","Tocantins"
"6","São Salvador do Tocantins",9,"2017","Todos","Todas","Tocantins"
"7","São Sebastião do Tocantins",10,"2017","Todos","Todas","Tocantins"
"8","São Valério da Natividade",21,"2017","Todos","Todas","Tocantins"
"9","Talismã",9,"2017","Todos","Todas","Tocantins"
"10","Tocantinópolis",81,"2017","Todos","Todas","Tocantins"
"11","Tocantínia",17,"2017","Todos","Todas","Tocantins"
"12","Tupirama",17,"2017","Todos","Todas","Tocantins"
"13","Palmas",1745,"2017","Todos","Todas","Tocantins"
"14","Palmeirante",18,"2017","Todos","Todas","Tocantins"
"15","Palmeiras do Tocantins",11,"2017","Todos","Todas","Tocantins"
"16","Palmeirópolis",37,"2017","Todos","Todas","Tocantins"
"17","Paraiso do Tocantins",229,"2017","Todos","Todas","Tocantins"
"18","Paranã",43,"2017","Todos","Todas","Tocantins"
"19","Pau D'arco",17,"2017","Todos","Todas","Tocantins"
"20","Pedro Afonso",27,"2017","Todos","Todas","Tocantins"
"21","Peixe",2,"2017","Todos","Todas","Tocantins"
"22","Pequizeiro",13,"2017","Todos","Todas","Tocantins"
"23","Pindorama do Tocantins",22,"2017","Todos","Todas","Tocantins"
"24","Pium",38,"2017","Todos","Todas","Tocantins"
"25","Ponte Alta do Tocantins",24,"2017","Todos","Todas","Tocantins"
"26","Porto Alegre do Tocantins",7,"2017","Todos","Todas","Tocantins"
"27","Porto Nacional",16,"2017","Todos","Todas","Tocantins"
"28","Praia Norte",8,"2017","Todos","Todas","Tocantins"
"29","Pugmil",13,"2017","Todos","Todas","Tocantins"
"30","Recursolândia",11,"2017","Todos","Todas","Tocantins"
"31","Riachinho",11,"2017","Todos","Todas","Tocantins"
"32","Rio Sono",21,"2017","Todos","Todas","Tocantins"
