"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Fria de Goiás",8,"2018","Todos","Todas","Goiás"
"2","Águas Lindas de Goiás",428,"2018","Todos","Todas","Goiás"
"3","São Francisco de Goiás",33,"2018","Todos","Todas","Goiás"
"4","São João D'aliança",40,"2018","Todos","Todas","Goiás"
"5","São João da Paraúna",8,"2018","Todos","Todas","Goiás"
"6","São Luís de Montes Belos",96,"2018","Todos","Todas","Goiás"
"7","São Miguel do Araguaia",121,"2018","Todos","Todas","Goiás"
"8","São Miguel do Passa Quatro",40,"2018","Todos","Todas","Goiás"
"9","São Patrício",12,"2018","Todos","Todas","Goiás"
"10","Teresina de Goiás",19,"2018","Todos","Todas","Goiás"
"11","Terezópolis de Goiás",35,"2018","Todos","Todas","Goiás"
"12","Trombas",19,"2018","Todos","Todas","Goiás"
"13","Três Ranchos",9,"2018","Todos","Todas","Goiás"
"14","Turvânia",25,"2018","Todos","Todas","Goiás"
"15","Uruana",14,"2018","Todos","Todas","Goiás"
"16","Uruaçu",247,"2018","Todos","Todas","Goiás"
"17","Urutaí",13,"2018","Todos","Todas","Goiás"
"18","Valparaíso de Goiás",338,"2018","Todos","Todas","Goiás"
"19","Varjão",16,"2018","Todos","Todas","Goiás"
"20","Vianópolis",73,"2018","Todos","Todas","Goiás"
"21","Vicentinópolis",41,"2018","Todos","Todas","Goiás"
"22","Vila Propício",22,"2018","Todos","Todas","Goiás"
"23","Professor Jamil",29,"2018","Todos","Todas","Goiás"
"24","Quirinopolis",212,"2018","Todos","Todas","Goiás"
"25","Rialma",61,"2018","Todos","Todas","Goiás"
"26","Rianápolis",7,"2018","Todos","Todas","Goiás"
"27","Rio Quente",11,"2018","Todos","Todas","Goiás"
"28","Rio Verde",978,"2018","Todos","Todas","Goiás"
"29","Rubiataba",105,"2018","Todos","Todas","Goiás"
"30","Santa Fé de Goiás",36,"2018","Todos","Todas","Goiás"
"31","Santa Helena de Goias",258,"2018","Todos","Todas","Goiás"
"32","Santa Rita do Araguaia",16,"2018","Todos","Todas","Goiás"
"33","Santa Rita do Novo Destino",6,"2018","Todos","Todas","Goiás"
"34","Santa Rosa de Goiás",5,"2018","Todos","Todas","Goiás"
"35","Santa Terezinha de Goiás",67,"2018","Todos","Todas","Goiás"
"36","Santo Antônio da Barra",22,"2018","Todos","Todas","Goiás"
"37","Santo Antônio de Goiás",29,"2018","Todos","Todas","Goiás"
"38","Santo Antônio do Descoberto",178,"2018","Todos","Todas","Goiás"
"39","Senador Canedo",398,"2018","Todos","Todas","Goiás"
"40","Serranópolis",44,"2018","Todos","Todas","Goiás"
"41","Silvânia",114,"2018","Todos","Todas","Goiás"
"42","São Domingos",40,"2018","Todos","Todas","Goiás"
"43","Nova Roma",16,"2018","Todos","Todas","Goiás"
"44","Nova Veneza",48,"2018","Todos","Todas","Goiás"
"45","Novo Brasil",22,"2018","Todos","Todas","Goiás"
"46","Novo Gama",160,"2018","Todos","Todas","Goiás"
"47","Ouro Verde de Goiás",17,"2018","Todos","Todas","Goiás"
"48","Palestina de Goiás",19,"2018","Todos","Todas","Goiás"
"49","Palmeiras de Goiás",128,"2018","Todos","Todas","Goiás"
"50","Palminópolis",29,"2018","Todos","Todas","Goiás"
"51","Paranaiguara",46,"2018","Todos","Todas","Goiás"
"52","Paraúna",65,"2018","Todos","Todas","Goiás"
"53","Perolândia",11,"2018","Todos","Todas","Goiás"
"54","Pilar de Goiás",28,"2018","Todos","Todas","Goiás"
"55","Piracanjuba",186,"2018","Todos","Todas","Goiás"
"56","Piranhas",78,"2018","Todos","Todas","Goiás"
"57","Pirenópolis",27,"2018","Todos","Todas","Goiás"
"58","Planaltina",334,"2018","Todos","Todas","Goiás"
"59","Pontalina",132,"2018","Todos","Todas","Goiás"
