"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vieirópolis",18,"2018","Todos","Todas","Paraíba"
"2","Vista Serrana",20,"2018","Todos","Todas","Paraíba"
"3","Várzea",19,"2018","Todos","Todas","Paraíba"
"4","Zabelê",13,"2018","Todos","Todas","Paraíba"
"5","Água Branca",56,"2018","Todos","Todas","Paraíba"
"6","São José de Espinharas",26,"2018","Todos","Todas","Paraíba"
"7","São José de Piranhas",143,"2018","Todos","Todas","Paraíba"
"8","São José de Princesa",17,"2018","Todos","Todas","Paraíba"
"9","São José do Bonfim",19,"2018","Todos","Todas","Paraíba"
"10","São José do Sabugi",24,"2018","Todos","Todas","Paraíba"
"11","São José dos Cordeiros",18,"2018","Todos","Todas","Paraíba"
"12","São José dos Ramos",33,"2018","Todos","Todas","Paraíba"
"13","São João do Cariri",50,"2018","Todos","Todas","Paraíba"
"14","São João do Rio do Peixe",107,"2018","Todos","Todas","Paraíba"
"15","São João do Tigre",28,"2018","Todos","Todas","Paraíba"
"16","São Mamede",48,"2018","Todos","Todas","Paraíba"
"17","São Miguel de Taipu",40,"2018","Todos","Todas","Paraíba"
"18","São Sebastião de Lagoa de Roça",52,"2018","Todos","Todas","Paraíba"
"19","Taperoá",128,"2018","Todos","Todas","Paraíba"
"20","Tavares",64,"2018","Todos","Todas","Paraíba"
"21","Teixeira",98,"2018","Todos","Todas","Paraíba"
"22","Tenório",23,"2018","Todos","Todas","Paraíba"
"23","Triunfo",49,"2018","Todos","Todas","Paraíba"
"24","Uiraúna",98,"2018","Todos","Todas","Paraíba"
"25","Umbuzeiro",50,"2018","Todos","Todas","Paraíba"
"26","Seridó",49,"2018","Todos","Todas","Paraíba"
"27","Serra Branca",105,"2018","Todos","Todas","Paraíba"
"28","Serra Grande",21,"2018","Todos","Todas","Paraíba"
"29","Serra Redonda",35,"2018","Todos","Todas","Paraíba"
"30","Serra da Raiz",19,"2018","Todos","Todas","Paraíba"
"31","Serraria",48,"2018","Todos","Todas","Paraíba"
"32","Sertãozinho",39,"2018","Todos","Todas","Paraíba"
"33","Sobrado",49,"2018","Todos","Todas","Paraíba"
"34","Soledade",70,"2018","Todos","Todas","Paraíba"
"35","Solânea",215,"2018","Todos","Todas","Paraíba"
