"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vila Flores",4,"2018","Todos","Todas","Rio Grande do Sul"
"2","Vila Maria",26,"2018","Todos","Todas","Rio Grande do Sul"
"3","Vila Nova do Sul",1,"2018","Todos","Todas","Rio Grande do Sul"
"4","Xangri-Lá",29,"2018","Todos","Todas","Rio Grande do Sul"
"5","Água Santa",3,"2018","Todos","Todas","Rio Grande do Sul"
"6","Áurea",7,"2018","Todos","Todas","Rio Grande do Sul"
"7","Três Cachoeiras",60,"2018","Todos","Todas","Rio Grande do Sul"
"8","Três Coroas",161,"2018","Todos","Todas","Rio Grande do Sul"
"9","Três Forquilhas",29,"2018","Todos","Todas","Rio Grande do Sul"
"10","Três Passos",276,"2018","Todos","Todas","Rio Grande do Sul"
"11","Três de Maio",242,"2018","Todos","Todas","Rio Grande do Sul"
"12","Tucunduva",9,"2018","Todos","Todas","Rio Grande do Sul"
"13","Tunas",26,"2018","Todos","Todas","Rio Grande do Sul"
"14","Tupanciretã",179,"2018","Todos","Todas","Rio Grande do Sul"
"15","Tupandi",32,"2018","Todos","Todas","Rio Grande do Sul"
"16","Tuparendi",100,"2018","Todos","Todas","Rio Grande do Sul"
"17","Uruguaiana",927,"2018","Todos","Todas","Rio Grande do Sul"
"18","Vacaria",623,"2018","Todos","Todas","Rio Grande do Sul"
"19","Vale do Sol",128,"2018","Todos","Todas","Rio Grande do Sul"
"20","Venâncio Aires",108,"2018","Todos","Todas","Rio Grande do Sul"
"21","Vera Cruz",203,"2018","Todos","Todas","Rio Grande do Sul"
"22","Veranopolis",206,"2018","Todos","Todas","Rio Grande do Sul"
"23","Viadutos",6,"2018","Todos","Todas","Rio Grande do Sul"
"24","Viamao",1008,"2018","Todos","Todas","Rio Grande do Sul"
"25","Vicente Dutra",37,"2018","Todos","Todas","Rio Grande do Sul"
"26","Victor Graeff",31,"2018","Todos","Todas","Rio Grande do Sul"
"27","São Pedro do Sul",200,"2018","Todos","Todas","Rio Grande do Sul"
"28","São Sebastião do Caí",175,"2018","Todos","Todas","Rio Grande do Sul"
"29","São Sepé",238,"2018","Todos","Todas","Rio Grande do Sul"
"30","São Valentim",76,"2018","Todos","Todas","Rio Grande do Sul"
"31","São Vicente do Sul",71,"2018","Todos","Todas","Rio Grande do Sul"
"32","Tabaí",23,"2018","Todos","Todas","Rio Grande do Sul"
"33","Tapejara",176,"2018","Todos","Todas","Rio Grande do Sul"
"34","Tapes",117,"2018","Todos","Todas","Rio Grande do Sul"
"35","Taquara",448,"2018","Todos","Todas","Rio Grande do Sul"
"36","Taquari",22,"2018","Todos","Todas","Rio Grande do Sul"
