"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Paulo de Olivença",14,"2019","Todos","Todas","Amazonas"
"2","São Sebastião do Uatumã",14,"2019","Todos","Todas","Amazonas"
"3","Tabatinga",130,"2019","Todos","Todas","Amazonas"
"4","Tefé",14,"2019","Todos","Todas","Amazonas"
"5","Uarini",21,"2019","Todos","Todas","Amazonas"
"6","Apuí",65,"2019","Todos","Todas","Amazonas"
"7","Autazes",67,"2019","Todos","Todas","Amazonas"
"8","Boa Vista do Ramos",47,"2019","Todos","Todas","Amazonas"
"9","Boca do Acre",39,"2019","Todos","Todas","Amazonas"
"10","Borba",53,"2019","Todos","Todas","Amazonas"
"11","Carauari",106,"2019","Todos","Todas","Amazonas"
"12","Careiro da Várzea",2,"2019","Todos","Todas","Amazonas"
"13","Fonte Boa",1,"2019","Todos","Todas","Amazonas"
"14","Ipixuna",58,"2019","Todos","Todas","Amazonas"
"15","Iranduba",3,"2019","Todos","Todas","Amazonas"
"16","Itacoatiara",340,"2019","Todos","Todas","Amazonas"
"17","Itapiranga",41,"2019","Todos","Todas","Amazonas"
"18","Jutaí",25,"2019","Todos","Todas","Amazonas"
"19","Lábrea",145,"2019","Todos","Todas","Amazonas"
"20","Manacapuru",207,"2019","Todos","Todas","Amazonas"
"21","Manaus",12229,"2019","Todos","Todas","Amazonas"
"22","Manicoré",4,"2019","Todos","Todas","Amazonas"
"23","Novo Airão",67,"2019","Todos","Todas","Amazonas"
"24","Parintins",401,"2019","Todos","Todas","Amazonas"
"25","Silves",36,"2019","Todos","Todas","Amazonas"
