"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio Verde de Mato Grosso",120,"2019","Todos","Todas","Mato Grosso do Sul"
"2","Rochedo",23,"2019","Todos","Todas","Mato Grosso do Sul"
"3","Santa Rita do Pardo",31,"2019","Todos","Todas","Mato Grosso do Sul"
"4","Selvíria",47,"2019","Todos","Todas","Mato Grosso do Sul"
"5","Sete Quedas",82,"2019","Todos","Todas","Mato Grosso do Sul"
"6","Sidrolândia",203,"2019","Todos","Todas","Mato Grosso do Sul"
"7","Sonora",52,"2019","Todos","Todas","Mato Grosso do Sul"
"8","São Gabriel do Oeste",121,"2019","Todos","Todas","Mato Grosso do Sul"
"9","Taquarussu",26,"2019","Todos","Todas","Mato Grosso do Sul"
"10","Terenos",63,"2019","Todos","Todas","Mato Grosso do Sul"
"11","Três Lagoas",722,"2019","Todos","Todas","Mato Grosso do Sul"
"12","Vicentina",54,"2019","Todos","Todas","Mato Grosso do Sul"
"13","Água Clara",61,"2019","Todos","Todas","Mato Grosso do Sul"
"14","Japorã",37,"2019","Todos","Todas","Mato Grosso do Sul"
"15","Jaraguari",17,"2019","Todos","Todas","Mato Grosso do Sul"
"16","Jardim",196,"2019","Todos","Todas","Mato Grosso do Sul"
"17","Jateí",18,"2019","Todos","Todas","Mato Grosso do Sul"
"18","Juti",43,"2019","Todos","Todas","Mato Grosso do Sul"
"19","Ladario",92,"2019","Todos","Todas","Mato Grosso do Sul"
"20","Laguna Carapã",39,"2019","Todos","Todas","Mato Grosso do Sul"
"21","Miranda",151,"2019","Todos","Todas","Mato Grosso do Sul"
"22","Mundo Novo",152,"2019","Todos","Todas","Mato Grosso do Sul"
"23","Naviraí",294,"2019","Todos","Todas","Mato Grosso do Sul"
"24","Nioaque",69,"2019","Todos","Todas","Mato Grosso do Sul"
"25","Nova Alvorada do Sul",71,"2019","Todos","Todas","Mato Grosso do Sul"
"26","Novo Horizonte do Sul",45,"2019","Todos","Todas","Mato Grosso do Sul"
"27","Paranaiba",319,"2019","Todos","Todas","Mato Grosso do Sul"
"28","Paraíso das Águas",12,"2019","Todos","Todas","Mato Grosso do Sul"
"29","Pedro Gomes",65,"2019","Todos","Todas","Mato Grosso do Sul"
"30","Ponta Porã",552,"2019","Todos","Todas","Mato Grosso do Sul"
"31","Ribas do Rio Pardo",120,"2019","Todos","Todas","Mato Grosso do Sul"
"32","Rio Brilhante",179,"2019","Todos","Todas","Mato Grosso do Sul"
"33","Rio Negro",35,"2019","Todos","Todas","Mato Grosso do Sul"
"34","Chapadão do Sul",85,"2019","Todos","Todas","Mato Grosso do Sul"
"35","Corguinho",21,"2019","Todos","Todas","Mato Grosso do Sul"
"36","Coronel Sapucaia",70,"2019","Todos","Todas","Mato Grosso do Sul"
"37","Corumba",615,"2019","Todos","Todas","Mato Grosso do Sul"
"38","Costa Rica",128,"2019","Todos","Todas","Mato Grosso do Sul"
"39","Coxim",253,"2019","Todos","Todas","Mato Grosso do Sul"
"40","Deodápolis",88,"2019","Todos","Todas","Mato Grosso do Sul"
"41","Dois Irmãos do Buriti",74,"2019","Todos","Todas","Mato Grosso do Sul"
"42","Douradina",41,"2019","Todos","Todas","Mato Grosso do Sul"
"43","Dourados",1514,"2019","Todos","Todas","Mato Grosso do Sul"
"44","Eldorado",66,"2019","Todos","Todas","Mato Grosso do Sul"
"45","Figueirão",12,"2019","Todos","Todas","Mato Grosso do Sul"
"46","Fátima do Sul",166,"2019","Todos","Todas","Mato Grosso do Sul"
"47","Glória de Dourados",79,"2019","Todos","Todas","Mato Grosso do Sul"
"48","Guia Lopes da Laguna",71,"2019","Todos","Todas","Mato Grosso do Sul"
"49","Iguatemi",76,"2019","Todos","Todas","Mato Grosso do Sul"
"50","Inocência",21,"2019","Todos","Todas","Mato Grosso do Sul"
"51","Itaporã",119,"2019","Todos","Todas","Mato Grosso do Sul"
"52","Itaquiraí",112,"2019","Todos","Todas","Mato Grosso do Sul"
"53","Ivinhema",190,"2019","Todos","Todas","Mato Grosso do Sul"
"54","Alcinópolis",22,"2019","Todos","Todas","Mato Grosso do Sul"
"55","Amambaí",274,"2019","Todos","Todas","Mato Grosso do Sul"
"56","Anastácio",185,"2019","Todos","Todas","Mato Grosso do Sul"
"57","Anaurilândia",36,"2019","Todos","Todas","Mato Grosso do Sul"
"58","Angélica",70,"2019","Todos","Todas","Mato Grosso do Sul"
"59","Antônio João",75,"2019","Todos","Todas","Mato Grosso do Sul"
"60","Aparecida do Taboado",178,"2019","Todos","Todas","Mato Grosso do Sul"
"61","Aquidauana",380,"2019","Todos","Todas","Mato Grosso do Sul"
"62","Aral Moreira",48,"2019","Todos","Todas","Mato Grosso do Sul"
"63","Bataguassu",132,"2019","Todos","Todas","Mato Grosso do Sul"
"64","Batayporã",54,"2019","Todos","Todas","Mato Grosso do Sul"
"65","Bela Vista",145,"2019","Todos","Todas","Mato Grosso do Sul"
"66","Bodoquena",56,"2019","Todos","Todas","Mato Grosso do Sul"
"67","Bonito",148,"2019","Todos","Todas","Mato Grosso do Sul"
"68","Brasilândia",72,"2019","Todos","Todas","Mato Grosso do Sul"
"69","Caarapo",155,"2019","Todos","Todas","Mato Grosso do Sul"
"70","Camapuã",102,"2019","Todos","Todas","Mato Grosso do Sul"
"71","Campo Grande",5913,"2019","Todos","Todas","Mato Grosso do Sul"
"72","Caracol",23,"2019","Todos","Todas","Mato Grosso do Sul"
"73","Cassilândia",193,"2019","Todos","Todas","Mato Grosso do Sul"
