"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",1097,"2020","Todos","Todas","Distrito Federal"
"2","Brazlândia",111,"2020","Todos","Todas","Distrito Federal"
"3","Ceilandia",1276,"2020","Todos","Todas","Distrito Federal"
"4","Gama",776,"2020","Todos","Todas","Distrito Federal"
"5","Guará",838,"2020","Todos","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",827,"2020","Todos","Todas","Distrito Federal"
"7","Paranoá",274,"2020","Todos","Todas","Distrito Federal"
"8","Planaltina",210,"2020","Todos","Todas","Distrito Federal"
"9","Samambaia",218,"2020","Todos","Todas","Distrito Federal"
"10","Sobradinho",232,"2020","Todos","Todas","Distrito Federal"
"11","Taguatinga",743,"2020","Todos","Todas","Distrito Federal"
