"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Serra",1625,"2020","Todos","Todas","Espírito Santo"
"2","São Domingos do Norte",17,"2020","Todos","Todas","Espírito Santo"
"3","São Gabriel da Palha",89,"2020","Todos","Todas","Espírito Santo"
"4","São José do Calçado",41,"2020","Todos","Todas","Espírito Santo"
"5","São Mateus",338,"2020","Todos","Todas","Espírito Santo"
"6","São Roque do Canaã",28,"2020","Todos","Todas","Espírito Santo"
"7","Vargem Alta",54,"2020","Todos","Todas","Espírito Santo"
"8","Venda Nova do Imigrante",73,"2020","Todos","Todas","Espírito Santo"
"9","Viana",202,"2020","Todos","Todas","Espírito Santo"
"10","Vila Pavão",19,"2020","Todos","Todas","Espírito Santo"
"11","Vila Valério",31,"2020","Todos","Todas","Espírito Santo"
"12","Vila Velha",1581,"2020","Todos","Todas","Espírito Santo"
"13","Vitória",1297,"2020","Todos","Todas","Espírito Santo"
"14","Água Doce do Norte",39,"2020","Todos","Todas","Espírito Santo"
"15","Águia Branca",21,"2020","Todos","Todas","Espírito Santo"
"16","Mantenópolis",36,"2020","Todos","Todas","Espírito Santo"
"17","Marataízes",146,"2020","Todos","Todas","Espírito Santo"
"18","Marechal Floriano",57,"2020","Todos","Todas","Espírito Santo"
"19","Marilândia",32,"2020","Todos","Todas","Espírito Santo"
"20","Mimoso do Sul",81,"2020","Todos","Todas","Espírito Santo"
"21","Montanha",62,"2020","Todos","Todas","Espírito Santo"
"22","Muniz Freire",44,"2020","Todos","Todas","Espírito Santo"
"23","Muqui",59,"2020","Todos","Todas","Espírito Santo"
"24","Nova Venécia",130,"2020","Todos","Todas","Espírito Santo"
"25","Pancas",52,"2020","Todos","Todas","Espírito Santo"
"26","Pedro Canário",68,"2020","Todos","Todas","Espírito Santo"
"27","Pinheiros",67,"2020","Todos","Todas","Espírito Santo"
"28","Piuma",62,"2020","Todos","Todas","Espírito Santo"
"29","Ponto Belo",5,"2020","Todos","Todas","Espírito Santo"
"30","Presidente Kennedy",34,"2020","Todos","Todas","Espírito Santo"
"31","Rio Bananal",32,"2020","Todos","Todas","Espírito Santo"
"32","Rio Novo do Sul",23,"2020","Todos","Todas","Espírito Santo"
"33","Santa Leopoldina",37,"2020","Todos","Todas","Espírito Santo"
"34","Santa Maria de Jetiba",126,"2020","Todos","Todas","Espírito Santo"
"35","Santa Teresa",62,"2020","Todos","Todas","Espírito Santo"
"36","Domingos Martins",88,"2020","Todos","Todas","Espírito Santo"
"37","Ecoporanga",85,"2020","Todos","Todas","Espírito Santo"
"38","Fundão",66,"2020","Todos","Todas","Espírito Santo"
"39","Governador Lindenberg",22,"2020","Todos","Todas","Espírito Santo"
"40","Guarapari",329,"2020","Todos","Todas","Espírito Santo"
"41","Guaçuí",117,"2020","Todos","Todas","Espírito Santo"
"42","Ibatiba",73,"2020","Todos","Todas","Espírito Santo"
"43","Ibiraçu",32,"2020","Todos","Todas","Espírito Santo"
"44","Ibitirama",26,"2020","Todos","Todas","Espírito Santo"
"45","Iconha",46,"2020","Todos","Todas","Espírito Santo"
"46","Irupi",38,"2020","Todos","Todas","Espírito Santo"
"47","Itaguaçu",56,"2020","Todos","Todas","Espírito Santo"
"48","Itapemirim",108,"2020","Todos","Todas","Espírito Santo"
"49","Itarana",29,"2020","Todos","Todas","Espírito Santo"
"50","Iúna",96,"2020","Todos","Todas","Espírito Santo"
"51","Jaguaré",52,"2020","Todos","Todas","Espírito Santo"
"52","Jerônimo Monteiro",48,"2020","Todos","Todas","Espírito Santo"
"53","João Neiva",33,"2020","Todos","Todas","Espírito Santo"
"54","Laranja da Terra",42,"2020","Todos","Todas","Espírito Santo"
"55","Linhares",392,"2020","Todos","Todas","Espírito Santo"
"56","Afonso Claudio",86,"2020","Todos","Todas","Espírito Santo"
"57","Alegre",105,"2020","Todos","Todas","Espírito Santo"
"58","Alfredo Chaves",18,"2020","Todos","Todas","Espírito Santo"
"59","Alto Rio Novo",16,"2020","Todos","Todas","Espírito Santo"
"60","Anchieta",71,"2020","Todos","Todas","Espírito Santo"
"61","Apiacá",21,"2020","Todos","Todas","Espírito Santo"
"62","Aracruz",204,"2020","Todos","Todas","Espírito Santo"
"63","Atilio Vivacqua",31,"2020","Todos","Todas","Espírito Santo"
"64","Baixo Guandu",120,"2020","Todos","Todas","Espírito Santo"
"65","Barra de São Francisco",138,"2020","Todos","Todas","Espírito Santo"
"66","Boa Esperança",57,"2020","Todos","Todas","Espírito Santo"
"67","Bom Jesus do Norte",37,"2020","Todos","Todas","Espírito Santo"
"68","Brejetuba",27,"2020","Todos","Todas","Espírito Santo"
"69","Cachoeiro de Itapemirim",640,"2020","Todos","Todas","Espírito Santo"
"70","Cariacica",1198,"2020","Todos","Todas","Espírito Santo"
"71","Castelo",98,"2020","Todos","Todas","Espírito Santo"
"72","Colatina",386,"2020","Todos","Todas","Espírito Santo"
"73","Conceição da Barra",70,"2020","Todos","Todas","Espírito Santo"
"74","Conceição do Castelo",46,"2020","Todos","Todas","Espírito Santo"
"75","Divino de São Lourenço",12,"2020","Todos","Todas","Espírito Santo"
