"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Visconde do Rio Branco",135,"2020","Todos","Todas","Minas Gerais"
"2","Viçosa",189,"2020","Todos","Todas","Minas Gerais"
"3","Volta Grande",15,"2020","Todos","Todas","Minas Gerais"
"4","Wenceslau Braz",4,"2020","Todos","Todas","Minas Gerais"
"5","Água Boa",23,"2020","Todos","Todas","Minas Gerais"
"6","Água Comprida",6,"2020","Todos","Todas","Minas Gerais"
"7","Águas Formosas",49,"2020","Todos","Todas","Minas Gerais"
"8","Águas Vermelhas",24,"2020","Todos","Todas","Minas Gerais"
"9","Urucania",24,"2020","Todos","Todas","Minas Gerais"
"10","Urucuia",10,"2020","Todos","Todas","Minas Gerais"
"11","Vargem Alegre",26,"2020","Todos","Todas","Minas Gerais"
"12","Vargem Bonita",6,"2020","Todos","Todas","Minas Gerais"
"13","Vargem Grande do Rio Pardo",10,"2020","Todos","Todas","Minas Gerais"
"14","Varginha",356,"2020","Todos","Todas","Minas Gerais"
"15","Varjão de Minas",12,"2020","Todos","Todas","Minas Gerais"
"16","Varzea da Palma",56,"2020","Todos","Todas","Minas Gerais"
"17","Varzelândia",33,"2020","Todos","Todas","Minas Gerais"
"18","Vazante",55,"2020","Todos","Todas","Minas Gerais"
"19","Verdelândia",12,"2020","Todos","Todas","Minas Gerais"
"20","Veredinha",4,"2020","Todos","Todas","Minas Gerais"
"21","Vermelho Novo",21,"2020","Todos","Todas","Minas Gerais"
"22","Veríssimo",8,"2020","Todos","Todas","Minas Gerais"
"23","Vespasiano",192,"2020","Todos","Todas","Minas Gerais"
"24","Vieiras",11,"2020","Todos","Todas","Minas Gerais"
"25","Virgem da Lapa",13,"2020","Todos","Todas","Minas Gerais"
"26","Virginópolis",35,"2020","Todos","Todas","Minas Gerais"
"27","Virgolândia",12,"2020","Todos","Todas","Minas Gerais"
"28","Virgínia",31,"2020","Todos","Todas","Minas Gerais"
"29","Tiradentes",32,"2020","Todos","Todas","Minas Gerais"
"30","Tocantins",43,"2020","Todos","Todas","Minas Gerais"
"31","Tocos do Moji",19,"2020","Todos","Todas","Minas Gerais"
"32","Toledo",14,"2020","Todos","Todas","Minas Gerais"
"33","Tombos",42,"2020","Todos","Todas","Minas Gerais"
"34","Três Corações",215,"2020","Todos","Todas","Minas Gerais"
"35","Três Marias",59,"2020","Todos","Todas","Minas Gerais"
"36","Três Pontas",176,"2020","Todos","Todas","Minas Gerais"
"37","Tumiritinga",31,"2020","Todos","Todas","Minas Gerais"
"38","Tupaciguara",95,"2020","Todos","Todas","Minas Gerais"
"39","Turmalina",39,"2020","Todos","Todas","Minas Gerais"
"40","Turvolândia",10,"2020","Todos","Todas","Minas Gerais"
"41","Ubaporanga",20,"2020","Todos","Todas","Minas Gerais"
"42","Ubaí",33,"2020","Todos","Todas","Minas Gerais"
"43","Uberaba",1025,"2020","Todos","Todas","Minas Gerais"
"44","Uberlandia",1639,"2020","Todos","Todas","Minas Gerais"
"45","Ubá",295,"2020","Todos","Todas","Minas Gerais"
"46","Unaí",187,"2020","Todos","Todas","Minas Gerais"
"47","União de Minas",8,"2020","Todos","Todas","Minas Gerais"
"48","Uruana de Minas",10,"2020","Todos","Todas","Minas Gerais"
"49","São Sebastião da Vargem Alegre",10,"2020","Todos","Todas","Minas Gerais"
"50","São Sebastião do Anta",22,"2020","Todos","Todas","Minas Gerais"
"51","São Sebastião do Maranhão",39,"2020","Todos","Todas","Minas Gerais"
"52","São Sebastião do Oeste",18,"2020","Todos","Todas","Minas Gerais"
"53","São Sebastião do Paraíso",260,"2020","Todos","Todas","Minas Gerais"
"54","São Sebastião do Rio Verde",8,"2020","Todos","Todas","Minas Gerais"
"55","São Thomé das Letras",8,"2020","Todos","Todas","Minas Gerais"
"56","São Tiago",31,"2020","Todos","Todas","Minas Gerais"
"57","São Tomás de Aquino",5,"2020","Todos","Todas","Minas Gerais"
"58","São Vicente de Minas",22,"2020","Todos","Todas","Minas Gerais"
"59","Tabuleiro",13,"2020","Todos","Todas","Minas Gerais"
"60","Taiobeiras",84,"2020","Todos","Todas","Minas Gerais"
"61","Taparuba",10,"2020","Todos","Todas","Minas Gerais"
"62","Tapira",12,"2020","Todos","Todas","Minas Gerais"
"63","Tapiraí",4,"2020","Todos","Todas","Minas Gerais"
"64","Taquaraçu de Minas",5,"2020","Todos","Todas","Minas Gerais"
"65","Tarumirim",43,"2020","Todos","Todas","Minas Gerais"
"66","Teixeiras",39,"2020","Todos","Todas","Minas Gerais"
"67","Teófilo Otoni",450,"2020","Todos","Todas","Minas Gerais"
"68","Timoteo",245,"2020","Todos","Todas","Minas Gerais"
"69","São José do Mantimento",9,"2020","Todos","Todas","Minas Gerais"
"70","São João Del Rei",329,"2020","Todos","Todas","Minas Gerais"
"71","São João Evangelista",68,"2020","Todos","Todas","Minas Gerais"
"72","São João Nepomuceno",98,"2020","Todos","Todas","Minas Gerais"
"73","São João da Lagoa",13,"2020","Todos","Todas","Minas Gerais"
"74","São João da Mata",7,"2020","Todos","Todas","Minas Gerais"
"75","São João da Ponte",70,"2020","Todos","Todas","Minas Gerais"
"76","São João das Missões",35,"2020","Todos","Todas","Minas Gerais"
"77","São João do Manhuaçu",19,"2020","Todos","Todas","Minas Gerais"
"78","São João do Manteninha",14,"2020","Todos","Todas","Minas Gerais"
"79","São João do Oriente",34,"2020","Todos","Todas","Minas Gerais"
"80","São João do Pacuí",4,"2020","Todos","Todas","Minas Gerais"
"81","São Lourenço",154,"2020","Todos","Todas","Minas Gerais"
"82","São Miguel do Anta",17,"2020","Todos","Todas","Minas Gerais"
"83","São Pedro da União",24,"2020","Todos","Todas","Minas Gerais"
"84","São Pedro do Suaçuí",25,"2020","Todos","Todas","Minas Gerais"
"85","São Pedro dos Ferros",32,"2020","Todos","Todas","Minas Gerais"
