"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Álvares Florence",13,"2020","Todos","Todas","São Paulo"
"2","Álvares Machado",72,"2020","Todos","Todas","São Paulo"
"3","Álvaro de Carvalho",21,"2020","Todos","Todas","São Paulo"
"4","Óleo",7,"2020","Todos","Todas","São Paulo"
"5","Uru",4,"2020","Todos","Todas","São Paulo"
"6","Urupês",45,"2020","Todos","Todas","São Paulo"
"7","Urânia",35,"2020","Todos","Todas","São Paulo"
"8","Valentim Gentil",34,"2020","Todos","Todas","São Paulo"
"9","Valinhos",460,"2020","Todos","Todas","São Paulo"
"10","Valparaíso",83,"2020","Todos","Todas","São Paulo"
"11","Vargem",17,"2020","Todos","Todas","São Paulo"
"12","Vargem Grande Paulista",113,"2020","Todos","Todas","São Paulo"
"13","Vargem Grande do Sul",147,"2020","Todos","Todas","São Paulo"
"14","Varzea Paulista",153,"2020","Todos","Todas","São Paulo"
"15","Vera Cruz",44,"2020","Todos","Todas","São Paulo"
"16","Vinhedo",221,"2020","Todos","Todas","São Paulo"
"17","Viradouro",64,"2020","Todos","Todas","São Paulo"
"18","Vista Alegre do Alto",14,"2020","Todos","Todas","São Paulo"
"19","Vitória Brasil",3,"2020","Todos","Todas","São Paulo"
"20","Votorantim",294,"2020","Todos","Todas","São Paulo"
"21","Votuporanga",376,"2020","Todos","Todas","São Paulo"
"22","Zacarias",16,"2020","Todos","Todas","São Paulo"
"23","Águas da Prata",19,"2020","Todos","Todas","São Paulo"
"24","Águas de Lindóia",112,"2020","Todos","Todas","São Paulo"
"25","Tejupá",6,"2020","Todos","Todas","São Paulo"
"26","Teodoro Sampaio",75,"2020","Todos","Todas","São Paulo"
"27","Terra Roxa",30,"2020","Todos","Todas","São Paulo"
"28","Tiete",155,"2020","Todos","Todas","São Paulo"
"29","Timburi",14,"2020","Todos","Todas","São Paulo"
"30","Torre de Pedra",16,"2020","Todos","Todas","São Paulo"
"31","Torrinha",39,"2020","Todos","Todas","São Paulo"
"32","Trabiju",4,"2020","Todos","Todas","São Paulo"
"33","Tremembé",104,"2020","Todos","Todas","São Paulo"
"34","Três Fronteiras",13,"2020","Todos","Todas","São Paulo"
"35","Tuiuti",9,"2020","Todos","Todas","São Paulo"
"36","Tupa",252,"2020","Todos","Todas","São Paulo"
"37","Tupi Paulista",81,"2020","Todos","Todas","São Paulo"
"38","Turiúba",7,"2020","Todos","Todas","São Paulo"
"39","Turmalina",10,"2020","Todos","Todas","São Paulo"
