"","Estado","Registros","Ano","Mês","Região"
"1","Acre",156,"2015","Novembro","Todas"
"2","Alagoas",800,"2015","Novembro","Todas"
"3","Amapá",147,"2015","Novembro","Todas"
"4","Amazonas",106,"2015","Novembro","Todas"
"5","Bahia",2789,"2015","Novembro","Todas"
"6","Ceará",661,"2015","Novembro","Todas"
"7","Distrito Federal",913,"2015","Novembro","Todas"
"8","Espírito Santo",1792,"2015","Novembro","Todas"
"9","Goiás",1830,"2015","Novembro","Todas"
"10","Maranhão",178,"2015","Novembro","Todas"
"11","Mato Grosso",1291,"2015","Novembro","Todas"
"12","Mato Grosso do Sul",676,"2015","Novembro","Todas"
"13","Minas Gerais",9563,"2015","Novembro","Todas"
"14","Paraná",5532,"2015","Novembro","Todas"
"15","Paraíba",1529,"2015","Novembro","Todas"
"16","Pará",300,"2015","Novembro","Todas"
"17","Pernambuco",2702,"2015","Novembro","Todas"
"18","Piauí",341,"2015","Novembro","Todas"
"19","Rio Grande do Norte",255,"2015","Novembro","Todas"
"20","Rio Grande do Sul",2486,"2015","Novembro","Todas"
"21","Rio de Janeiro",1371,"2015","Novembro","Todas"
"22","Rondônia",439,"2015","Novembro","Todas"
"23","Roraima",70,"2015","Novembro","Todas"
"24","Santa Catarina",2532,"2015","Novembro","Todas"
"25","Sergipe",955,"2015","Novembro","Todas"
"26","São Paulo",21499,"2015","Novembro","Todas"
"27","Tocantins",238,"2015","Novembro","Todas"
