"","Estado","Registros","Ano","Mês","Região"
"1","Acre",332,"2019","Setembro","Todas"
"2","Alagoas",1421,"2019","Setembro","Todas"
"3","Amapá",189,"2019","Setembro","Todas"
"4","Amazonas",1133,"2019","Setembro","Todas"
"5","Bahia",5562,"2019","Setembro","Todas"
"6","Ceará",3248,"2019","Setembro","Todas"
"7","Distrito Federal",1301,"2019","Setembro","Todas"
"8","Espírito Santo",2085,"2019","Setembro","Todas"
"9","Goiás",2739,"2019","Setembro","Todas"
"10","Maranhão",1548,"2019","Setembro","Todas"
"11","Mato Grosso",1297,"2019","Setembro","Todas"
"12","Mato Grosso do Sul",1435,"2019","Setembro","Todas"
"13","Minas Gerais",10281,"2019","Setembro","Todas"
"14","Paraná",6083,"2019","Setembro","Todas"
"15","Paraíba",2214,"2019","Setembro","Todas"
"16","Pará",2120,"2019","Setembro","Todas"
"17","Pernambuco",5153,"2019","Setembro","Todas"
"18","Piauí",1132,"2019","Setembro","Todas"
"19","Rio Grande do Norte",1370,"2019","Setembro","Todas"
"20","Rio Grande do Sul",8038,"2019","Setembro","Todas"
"21","Rio de Janeiro",11713,"2019","Setembro","Todas"
"22","Rondônia",715,"2019","Setembro","Todas"
"23","Roraima",228,"2019","Setembro","Todas"
"24","Santa Catarina",3678,"2019","Setembro","Todas"
"25","Sergipe",988,"2019","Setembro","Todas"
"26","São Paulo",25860,"2019","Setembro","Todas"
"27","Tocantins",469,"2019","Setembro","Todas"
