"","Estado","Registros","Ano","Mês","Região"
"1","Acre",215,"2015","Outubro","Todas"
"2","Alagoas",709,"2015","Outubro","Todas"
"3","Amapá",175,"2015","Outubro","Todas"
"4","Amazonas",131,"2015","Outubro","Todas"
"5","Bahia",2870,"2015","Outubro","Todas"
"6","Ceará",701,"2015","Outubro","Todas"
"7","Distrito Federal",1188,"2015","Outubro","Todas"
"8","Espírito Santo",1795,"2015","Outubro","Todas"
"9","Goiás",2135,"2015","Outubro","Todas"
"10","Maranhão",175,"2015","Outubro","Todas"
"11","Mato Grosso",1362,"2015","Outubro","Todas"
"12","Mato Grosso do Sul",562,"2015","Outubro","Todas"
"13","Minas Gerais",10238,"2015","Outubro","Todas"
"14","Paraná",5778,"2015","Outubro","Todas"
"15","Paraíba",1475,"2015","Outubro","Todas"
"16","Pará",334,"2015","Outubro","Todas"
"17","Pernambuco",3543,"2015","Outubro","Todas"
"18","Piauí",238,"2015","Outubro","Todas"
"19","Rio Grande do Norte",280,"2015","Outubro","Todas"
"20","Rio Grande do Sul",3497,"2015","Outubro","Todas"
"21","Rio de Janeiro",2286,"2015","Outubro","Todas"
"22","Rondônia",535,"2015","Outubro","Todas"
"23","Roraima",73,"2015","Outubro","Todas"
"24","Santa Catarina",2584,"2015","Outubro","Todas"
"25","Sergipe",852,"2015","Outubro","Todas"
"26","São Paulo",23193,"2015","Outubro","Todas"
"27","Tocantins",313,"2015","Outubro","Todas"
