"","Estado","Registros","Ano","Mês","Região"
"1","Acre",356,"2017","Dezembro","Todas"
"2","Alagoas",970,"2017","Dezembro","Todas"
"3","Amapá",167,"2017","Dezembro","Todas"
"4","Amazonas",573,"2017","Dezembro","Todas"
"5","Bahia",3303,"2017","Dezembro","Todas"
"6","Ceará",3027,"2017","Dezembro","Todas"
"7","Distrito Federal",1185,"2017","Dezembro","Todas"
"8","Espírito Santo",1872,"2017","Dezembro","Todas"
"9","Goiás",2321,"2017","Dezembro","Todas"
"10","Maranhão",665,"2017","Dezembro","Todas"
"11","Mato Grosso",1326,"2017","Dezembro","Todas"
"12","Mato Grosso do Sul",1119,"2017","Dezembro","Todas"
"13","Minas Gerais",10739,"2017","Dezembro","Todas"
"14","Paraná",5594,"2017","Dezembro","Todas"
"15","Paraíba",1871,"2017","Dezembro","Todas"
"16","Pará",935,"2017","Dezembro","Todas"
"17","Pernambuco",4681,"2017","Dezembro","Todas"
"18","Piauí",459,"2017","Dezembro","Todas"
"19","Rio Grande do Norte",1149,"2017","Dezembro","Todas"
"20","Rio Grande do Sul",5987,"2017","Dezembro","Todas"
"21","Rio de Janeiro",3282,"2017","Dezembro","Todas"
"22","Rondônia",427,"2017","Dezembro","Todas"
"23","Roraima",84,"2017","Dezembro","Todas"
"24","Santa Catarina",2993,"2017","Dezembro","Todas"
"25","Sergipe",1031,"2017","Dezembro","Todas"
"26","São Paulo",23270,"2017","Dezembro","Todas"
"27","Tocantins",412,"2017","Dezembro","Todas"
