"","Estado","Registros","Ano","Mês","Região"
"1","Acre",364,"2017","Maio","Todas"
"2","Alagoas",1085,"2017","Maio","Todas"
"3","Amapá",241,"2017","Maio","Todas"
"4","Amazonas",646,"2017","Maio","Todas"
"5","Bahia",3783,"2017","Maio","Todas"
"6","Ceará",3526,"2017","Maio","Todas"
"7","Distrito Federal",1234,"2017","Maio","Todas"
"8","Espírito Santo",2107,"2017","Maio","Todas"
"9","Goiás",2689,"2017","Maio","Todas"
"10","Maranhão",538,"2017","Maio","Todas"
"11","Mato Grosso",1438,"2017","Maio","Todas"
"12","Mato Grosso do Sul",1298,"2017","Maio","Todas"
"13","Minas Gerais",12195,"2017","Maio","Todas"
"14","Paraná",6673,"2017","Maio","Todas"
"15","Paraíba",1958,"2017","Maio","Todas"
"16","Pará",971,"2017","Maio","Todas"
"17","Pernambuco",5287,"2017","Maio","Todas"
"18","Piauí",646,"2017","Maio","Todas"
"19","Rio Grande do Norte",990,"2017","Maio","Todas"
"20","Rio Grande do Sul",5319,"2017","Maio","Todas"
"21","Rio de Janeiro",2904,"2017","Maio","Todas"
"22","Rondônia",742,"2017","Maio","Todas"
"23","Roraima",173,"2017","Maio","Todas"
"24","Santa Catarina",3293,"2017","Maio","Todas"
"25","Sergipe",1159,"2017","Maio","Todas"
"26","São Paulo",27200,"2017","Maio","Todas"
"27","Tocantins",445,"2017","Maio","Todas"
