"","Estado","Registros","Ano","Mês","Região"
"1","Acre",371,"2017","Março","Todas"
"2","Alagoas",1025,"2017","Março","Todas"
"3","Amapá",208,"2017","Março","Todas"
"4","Amazonas",443,"2017","Março","Todas"
"5","Bahia",3613,"2017","Março","Todas"
"6","Ceará",3646,"2017","Março","Todas"
"7","Distrito Federal",1233,"2017","Março","Todas"
"8","Espírito Santo",2057,"2017","Março","Todas"
"9","Goiás",2492,"2017","Março","Todas"
"10","Maranhão",468,"2017","Março","Todas"
"11","Mato Grosso",1469,"2017","Março","Todas"
"12","Mato Grosso do Sul",1309,"2017","Março","Todas"
"13","Minas Gerais",11496,"2017","Março","Todas"
"14","Paraná",6070,"2017","Março","Todas"
"15","Paraíba",2091,"2017","Março","Todas"
"16","Pará",1126,"2017","Março","Todas"
"17","Pernambuco",4956,"2017","Março","Todas"
"18","Piauí",503,"2017","Março","Todas"
"19","Rio Grande do Norte",979,"2017","Março","Todas"
"20","Rio Grande do Sul",3399,"2017","Março","Todas"
"21","Rio de Janeiro",1081,"2017","Março","Todas"
"22","Rondônia",627,"2017","Março","Todas"
"23","Roraima",138,"2017","Março","Todas"
"24","Santa Catarina",3193,"2017","Março","Todas"
"25","Sergipe",1124,"2017","Março","Todas"
"26","São Paulo",26769,"2017","Março","Todas"
"27","Tocantins",461,"2017","Março","Todas"
