"","Estado","Registros","Ano","Mês","Região"
"1","Acre",327,"2017","Novembro","Todas"
"2","Alagoas",1060,"2017","Novembro","Todas"
"3","Amapá",227,"2017","Novembro","Todas"
"4","Amazonas",599,"2017","Novembro","Todas"
"5","Bahia",3531,"2017","Novembro","Todas"
"6","Ceará",3157,"2017","Novembro","Todas"
"7","Distrito Federal",1080,"2017","Novembro","Todas"
"8","Espírito Santo",1941,"2017","Novembro","Todas"
"9","Goiás",2343,"2017","Novembro","Todas"
"10","Maranhão",613,"2017","Novembro","Todas"
"11","Mato Grosso",1253,"2017","Novembro","Todas"
"12","Mato Grosso do Sul",1095,"2017","Novembro","Todas"
"13","Minas Gerais",10638,"2017","Novembro","Todas"
"14","Paraná",5784,"2017","Novembro","Todas"
"15","Paraíba",1917,"2017","Novembro","Todas"
"16","Pará",986,"2017","Novembro","Todas"
"17","Pernambuco",4712,"2017","Novembro","Todas"
"18","Piauí",496,"2017","Novembro","Todas"
"19","Rio Grande do Norte",997,"2017","Novembro","Todas"
"20","Rio Grande do Sul",5851,"2017","Novembro","Todas"
"21","Rio de Janeiro",2860,"2017","Novembro","Todas"
"22","Rondônia",683,"2017","Novembro","Todas"
"23","Roraima",98,"2017","Novembro","Todas"
"24","Santa Catarina",2913,"2017","Novembro","Todas"
"25","Sergipe",1054,"2017","Novembro","Todas"
"26","São Paulo",24084,"2017","Novembro","Todas"
"27","Tocantins",377,"2017","Novembro","Todas"
