"","Estado","Registros","Ano","Mês","Região"
"1","Acre",316,"2018","Setembro","Todas"
"2","Alagoas",1196,"2018","Setembro","Todas"
"3","Amapá",174,"2018","Setembro","Todas"
"4","Amazonas",334,"2018","Setembro","Todas"
"5","Bahia",4927,"2018","Setembro","Todas"
"6","Ceará",3163,"2018","Setembro","Todas"
"7","Distrito Federal",1098,"2018","Setembro","Todas"
"8","Espírito Santo",1900,"2018","Setembro","Todas"
"9","Goiás",2373,"2018","Setembro","Todas"
"10","Maranhão",1250,"2018","Setembro","Todas"
"11","Mato Grosso",1084,"2018","Setembro","Todas"
"12","Mato Grosso do Sul",1243,"2018","Setembro","Todas"
"13","Minas Gerais",10085,"2018","Setembro","Todas"
"14","Paraná",5521,"2018","Setembro","Todas"
"15","Paraíba",2004,"2018","Setembro","Todas"
"16","Pará",1489,"2018","Setembro","Todas"
"17","Pernambuco",4617,"2018","Setembro","Todas"
"18","Piauí",873,"2018","Setembro","Todas"
"19","Rio Grande do Norte",1082,"2018","Setembro","Todas"
"20","Rio Grande do Sul",5998,"2018","Setembro","Todas"
"21","Rio de Janeiro",10258,"2018","Setembro","Todas"
"22","Rondônia",708,"2018","Setembro","Todas"
"23","Roraima",241,"2018","Setembro","Todas"
"24","Santa Catarina",3417,"2018","Setembro","Todas"
"25","Sergipe",931,"2018","Setembro","Todas"
"26","São Paulo",23908,"2018","Setembro","Todas"
"27","Tocantins",463,"2018","Setembro","Todas"
