"","Estado","Registros","Ano","Mês","Região"
"1","Acre",299,"2019","Fevereiro","Todas"
"2","Alagoas",1214,"2019","Fevereiro","Todas"
"3","Amapá",220,"2019","Fevereiro","Todas"
"4","Amazonas",1134,"2019","Fevereiro","Todas"
"5","Bahia",5127,"2019","Fevereiro","Todas"
"6","Ceará",3089,"2019","Fevereiro","Todas"
"7","Distrito Federal",1064,"2019","Fevereiro","Todas"
"8","Espírito Santo",1758,"2019","Fevereiro","Todas"
"9","Goiás",2375,"2019","Fevereiro","Todas"
"10","Maranhão",1720,"2019","Fevereiro","Todas"
"11","Mato Grosso",920,"2019","Fevereiro","Todas"
"12","Mato Grosso do Sul",1149,"2019","Fevereiro","Todas"
"13","Minas Gerais",9018,"2019","Fevereiro","Todas"
"14","Paraná",4893,"2019","Fevereiro","Todas"
"15","Paraíba",2002,"2019","Fevereiro","Todas"
"16","Pará",2054,"2019","Fevereiro","Todas"
"17","Pernambuco",4513,"2019","Fevereiro","Todas"
"18","Piauí",1090,"2019","Fevereiro","Todas"
"19","Rio Grande do Norte",1211,"2019","Fevereiro","Todas"
"20","Rio Grande do Sul",6054,"2019","Fevereiro","Todas"
"21","Rio de Janeiro",9899,"2019","Fevereiro","Todas"
"22","Rondônia",618,"2019","Fevereiro","Todas"
"23","Roraima",124,"2019","Fevereiro","Todas"
"24","Santa Catarina",3140,"2019","Fevereiro","Todas"
"25","Sergipe",955,"2019","Fevereiro","Todas"
"26","São Paulo",22853,"2019","Fevereiro","Todas"
"27","Tocantins",432,"2019","Fevereiro","Todas"
