"","Estado","Registros","Ano","Mês","Região"
"1","Acre",316,"2019","Julho","Todas"
"2","Alagoas",1548,"2019","Julho","Todas"
"3","Amapá",239,"2019","Julho","Todas"
"4","Amazonas",1245,"2019","Julho","Todas"
"5","Bahia",6241,"2019","Julho","Todas"
"6","Ceará",3642,"2019","Julho","Todas"
"7","Distrito Federal",1297,"2019","Julho","Todas"
"8","Espírito Santo",2311,"2019","Julho","Todas"
"9","Goiás",3060,"2019","Julho","Todas"
"10","Maranhão",1795,"2019","Julho","Todas"
"11","Mato Grosso",1211,"2019","Julho","Todas"
"12","Mato Grosso do Sul",1611,"2019","Julho","Todas"
"13","Minas Gerais",11775,"2019","Julho","Todas"
"14","Paraná",6939,"2019","Julho","Todas"
"15","Paraíba",2589,"2019","Julho","Todas"
"16","Pará",2193,"2019","Julho","Todas"
"17","Pernambuco",5735,"2019","Julho","Todas"
"18","Piauí",1394,"2019","Julho","Todas"
"19","Rio Grande do Norte",1638,"2019","Julho","Todas"
"20","Rio Grande do Sul",9520,"2019","Julho","Todas"
"21","Rio de Janeiro",13204,"2019","Julho","Todas"
"22","Rondônia",726,"2019","Julho","Todas"
"23","Roraima",248,"2019","Julho","Todas"
"24","Santa Catarina",4198,"2019","Julho","Todas"
"25","Sergipe",1220,"2019","Julho","Todas"
"26","São Paulo",31247,"2019","Julho","Todas"
"27","Tocantins",544,"2019","Julho","Todas"
