"","Estado","Registros","Ano","Mês","Região"
"1","Acre",289,"2019","Junho","Todas"
"2","Alagoas",1392,"2019","Junho","Todas"
"3","Amapá",229,"2019","Junho","Todas"
"4","Amazonas",1117,"2019","Junho","Todas"
"5","Bahia",5426,"2019","Junho","Todas"
"6","Ceará",3325,"2019","Junho","Todas"
"7","Distrito Federal",1287,"2019","Junho","Todas"
"8","Espírito Santo",2097,"2019","Junho","Todas"
"9","Goiás",2724,"2019","Junho","Todas"
"10","Maranhão",1674,"2019","Junho","Todas"
"11","Mato Grosso",1154,"2019","Junho","Todas"
"12","Mato Grosso do Sul",1431,"2019","Junho","Todas"
"13","Minas Gerais",10350,"2019","Junho","Todas"
"14","Paraná",5994,"2019","Junho","Todas"
"15","Paraíba",2169,"2019","Junho","Todas"
"16","Pará",1751,"2019","Junho","Todas"
"17","Pernambuco",5032,"2019","Junho","Todas"
"18","Piauí",1184,"2019","Junho","Todas"
"19","Rio Grande do Norte",1285,"2019","Junho","Todas"
"20","Rio Grande do Sul",7478,"2019","Junho","Todas"
"21","Rio de Janeiro",12672,"2019","Junho","Todas"
"22","Rondônia",669,"2019","Junho","Todas"
"23","Roraima",186,"2019","Junho","Todas"
"24","Santa Catarina",3368,"2019","Junho","Todas"
"25","Sergipe",1030,"2019","Junho","Todas"
"26","São Paulo",26757,"2019","Junho","Todas"
"27","Tocantins",462,"2019","Junho","Todas"
