"","Estado","Registros","Ano","Mês","Região"
"1","Acre",2526,"2015","Todos","Todas"
"2","Alagoas",7765,"2015","Todos","Todas"
"3","Amapá",2144,"2015","Todos","Todas"
"4","Amazonas",2909,"2015","Todos","Todas"
"5","Bahia",31705,"2015","Todos","Todas"
"6","Ceará",8622,"2015","Todos","Todas"
"7","Distrito Federal",13906,"2015","Todos","Todas"
"8","Espírito Santo",22563,"2015","Todos","Todas"
"9","Goiás",23927,"2015","Todos","Todas"
"10","Maranhão",2082,"2015","Todos","Todas"
"11","Mato Grosso",15835,"2015","Todos","Todas"
"12","Mato Grosso do Sul",7782,"2015","Todos","Todas"
"13","Minas Gerais",119638,"2015","Todos","Todas"
"14","Paraná",71465,"2015","Todos","Todas"
"15","Paraíba",18267,"2015","Todos","Todas"
"16","Pará",4010,"2015","Todos","Todas"
"17","Pernambuco",51241,"2015","Todos","Todas"
"18","Piauí",2695,"2015","Todos","Todas"
"19","Rio Grande do Norte",4311,"2015","Todos","Todas"
"20","Rio Grande do Sul",45351,"2015","Todos","Todas"
"21","Rio de Janeiro",25973,"2015","Todos","Todas"
"22","Rondônia",5895,"2015","Todos","Todas"
"23","Roraima",881,"2015","Todos","Todas"
"24","Santa Catarina",30139,"2015","Todos","Todas"
"25","Sergipe",11116,"2015","Todos","Todas"
"26","São Paulo",287890,"2015","Todos","Todas"
"27","Tocantins",3485,"2015","Todos","Todas"
